"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"bibliothek","tom war in der bibliothek.","tom war in der {{1::bibliothek}}.","tom was at the library.","First 3 letters: bib...","282","0.4422831050228311",""
"aufgabe","tom wurde die aufgabe zugewiesen.","tom wurde die {{1::aufgabe}} zugewiesen.","tom was assigned the task.","First 2 letters: au...","194","0.481628664495114",""
"einzige","tom war der einzige überlebende.","tom war der {{1::einzige}} überlebende.","tom was the only survivor.","First 2 letters: ei...","707","0.4824038461538461",""
"gäste","tom begrüßte die gäste.","tom begrüßte die {{1::gäste}}.","tom was welcoming the guests.","First 2 letters: gä...","131","0.45135135135135135",""
"dach","tom war auf dem dach.","tom war auf dem {{1::dach}}.","tom was on the roof.","First 1 letter: d...","177","0.3815432098765432",""
"hemd","tom war ohne hemd und barfuß.","tom war ohne {{1::hemd}} und barfuß.","tom was shirtless and barefoot.","First 1 letter: h...","262","0.44209205020920506",""
"links","tom wurde links liegengelassen.","tom wurde {{1::links}} liegengelassen.","tom was sent to coventry.","First 2 letters: li...","143","0.5013966480446927",""
"seines","tom wurde seines kommandos enthoben.","tom wurde {{1::seines}} kommandos enthoben.","tom was relieved of command.","First 2 letters: se...","313","0.48265957446808516",""
"hatten","vor tom hatten alle angst.","vor tom {{1::hatten}} alle angst.","everybody was afraid of tom.","First 2 letters: ha...","720","0.482262443438914",""
"hatten","alle hatten vor tom angst.","alle {{1::hatten}} vor tom angst.","everybody was afraid of tom.","First 2 letters: ha...","720","0.44226244343891397",""
"erste","tom war marys erste liebe.","tom war marys {{1::erste}} liebe.","tom was mary's first love.","First 2 letters: er...","462","0.49282051282051287",""
"dreimal","es wurde dreimal auf tom geschossen.","es wurde {{1::dreimal}} auf tom geschossen.","tom was shot three times.","First 2 letters: dr...","162","0.46814159292035395",""
"genau","tom war genau pünktlich.","tom war {{1::genau}} pünktlich.","tom was right on time.","First 2 letters: ge...","784","0.5017543859649123",""
"niemand","außer tom war niemand da.","außer tom war {{1::niemand}} da.","nobody was there but tom.","First 2 letters: ni...","1730","0.4804061738424046",""
"sieben","tom war sieben mal verheiratet.","tom war {{1::sieben}} mal verheiratet.","tom was married seven times.","First 2 letters: si...","323","0.482808988764045",""
"waren","alle außer tom waren da.","alle außer tom {{1::waren}} da.","everyone but tom was there.","First 2 letters: wa...","2367","0.48026766595289083",""
"waren","außer tom waren alle da.","außer tom {{1::waren}} alle da.","everyone but tom was there.","First 2 letters: wa...","2367","0.48026766595289083",""
"gedacht","tom hat gedacht, das gehöre maria.","tom hat {{1::gedacht}}, das gehöre maria.","tom thought this was mary's.","First 2 letters: ge...","438","0.4746031746031746",""
"dringend","tom sagte, dass es dringend sei.","tom sagte, dass es {{1::dringend}} sei.","tom said this was urgent.","First 2 letters: dr...","100","0.4679135494596841",""
"unbedingt","tom wollte unbedingt entkommen.","tom wollte {{1::unbedingt}} entkommen.","tom was desperate to escape.","First 3 letters: unb...","226","0.5018181818181818",""
"farbe","welche farbe trug tom?","welche {{1::farbe}} trug tom?","what color was tom wearing?","First 2 letters: fa...","305","0.45255102040816325",""
"darum","tom hat darum gebeten.","tom hat {{1::darum}} gebeten.","tom was asking for it.","First 2 letters: da...","306","0.5025641025641026",""
"gesucht","alle haben tom gesucht.","alle haben tom {{1::gesucht}}.","everybody was looking for tom.","First 2 letters: ge...","199","0.45165562913907287",""
"führte","tom führte selbstgespräche.","tom {{1::führte}} selbstgespräche.","tom was talking to himself.","First 2 letters: fü...","156","0.46811594202898543",""
"interessant","tom war nie sehr interessant.","tom war nie sehr {{1::interessant}}.","tom never was very interesting.","First 3 letters: int...","322","0.44279329608938545",""
"deswegen","war tom deswegen wütend?","war tom {{1::deswegen}} wütend?","was tom angry about that?","First 2 letters: de...","140","0.5013850415512465",""
"äpfel","tom wurde beim äpfel stehlen erwischt.","tom wurde beim {{1::äpfel}} stehlen erwischt.","tom was caught stealing apples.","First 2 letters: äp...","251","0.502",""
"gezwungen","tom war gezwungen zu improvisieren.","tom war {{1::gezwungen}} zu improvisieren.","tom was forced to improvise.","First 3 letters: gez...","108","0.4812722646310432",""
"jahr","wie war das jahr 2013 für dich, tom?","wie war das {{1::jahr}} 2013 für dich, tom?","how was 2013 for you, tom?","First 1 letter: j...","1171","0.42645833333333333",""
"damals","wie alt war tom damals?","wie alt war tom {{1::damals}}?","how old was tom then?","First 2 letters: da...","220","0.441779359430605",""
"köstlich","tom fand es köstlich.","tom fand es {{1::köstlich}}.","tom thought it was delicious.","First 2 letters: kö...","101","0.45125",""
"müssen","tom war verrückt, müssen sie wissen.","tom war verrückt, {{1::müssen}} sie wissen.","tom was crazy, you know.","First 2 letters: mü...","2730","0.5002241147467503",""
"geirrt","ich würde sagen, daß sich tom geirrt hat.","ich würde sagen, daß sich tom {{1::geirrt}} hat.","i'd say tom was mistaken.","First 2 letters: ge...","107","0.4512690355329949",""
"ihren","maria hat ihren sohn tom genannt.","maria hat {{1::ihren}} sohn tom genannt.","maria called her son tom.","First 2 letters: ih...","1634","0.46710719530102784",""
"krieg","tom verurteilte den krieg vor aller öffentlichkeit.","tom verurteilte den {{1::krieg}} vor aller öffentlichkeit.","tom publicly denounced the war.","First 2 letters: kr...","304","0.48825235678027556",""
"alter","tom ist ein alter mann.","tom ist ein {{1::alter}} mann.","tom is an old man.","First 2 letters: al...","429","0.4869444444444444",""
"alter","tom ist kein alter mann.","tom ist kein {{1::alter}} mann.","tom isn't an old man.","First 2 letters: al...","429","0.4869444444444444",""
"freuen","tom wird sich ja so freuen!","tom wird sich ja so {{1::freuen}}!","tom will be so happy.","First 2 letters: fr...","156","0.4347826086956521",""
"alten","tom fährt einen alten ford.","tom fährt einen {{1::alten}} ford.","tom drives an old ford.","First 2 letters: al...","346","0.48322580645161295",""
"amerikaner","ist tom auch amerikaner?","ist tom auch {{1::amerikaner}}?","is tom an american too?","First 3 letters: ame...","150","0.4514245014245014",""
"alter","tom ist ein alter freund.","tom ist ein {{1::alter}} freund.","tom is an old friend.","First 2 letters: al...","429","0.4869444444444444",""
"alten","tom fährt einen alten diesel.","tom fährt einen {{1::alten}} diesel.","tom drives an old diesel.","First 2 letters: al...","346","0.48322580645161295",""
"stunde","tom wartete eine stunde.","tom wartete eine {{1::stunde}}.","tom waited for an hour.","First 2 letters: st...","481","0.47500000000000003",""
"stunde","tom hat über eine stunde gewartet.","tom hat über eine {{1::stunde}} gewartet.","tom waited over an hour.","First 2 letters: st...","481","0.4916666666666667",""
"behalten","behalten sie tom im auge!","{{1::behalten}} sie tom im auge!","keep an eye on tom.","First 2 letters: be...","161","0.40147058823529413",""
"passen","passen sie auf tom auf!","{{1::passen}} sie auf tom auf!","keep an eye on tom.","First 2 letters: pa...","139","0.40138121546961325",""
"erklärung","tom gab keine erklärung ab.","tom gab keine {{1::erklärung}} ab.","tom didn't give an explanation.","First 3 letters: erk...","164","0.48148367952522253",""
"denn","seid tom und du denn nun ...?","seid tom und du {{1::denn}} nun ...?","so, are you and tom...?","First 1 letter: d...","1059","0.4075595238095238",""
"gebraucht","weshalb hat tom so lang gebraucht?","weshalb hat tom so lang {{1::gebraucht}}?","what took tom so long?","First 3 letters: geb...","166","0.43482587064676614",""
"solche","tom muss solche angst haben.","tom muss {{1::solche}} angst haben.","tom must be so scared.","First 2 letters: so...","230","0.48184501845018446",""
"problem","tom wird das problem beheben.","tom wird das {{1::problem}} beheben.","tom will fix the problem.","First 2 letters: pr...","1121","0.48080385852090035",""
"kaufen","tom wird ein buch kaufen.","tom wird ein buch {{1::kaufen}}.","tom will buy a book.","First 2 letters: ka...","1076","0.4408665511265164",""
"gleiche","tom wird das gleiche tun.","tom wird das {{1::gleiche}} tun.","tom will do the same.","First 2 letters: gl...","340","0.48310559006211184",""
"dorthin","tom wird morgen dorthin gehen.","tom wird morgen {{1::dorthin}} gehen.","tom will go there tomorrow.","First 2 letters: do...","471","0.4966666666666667",""
"dahin","tom wird sich weigern, dahin zu gehen.","tom wird sich weigern, {{1::dahin}} zu gehen.","tom will refuse to go.","First 2 letters: da...","150","0.4871387871387871",""
"dahin","tom wird sich weigern, dahin zu fahren.","tom wird sich weigern, {{1::dahin}} zu fahren.","tom will refuse to go.","First 2 letters: da...","150","0.4871387871387871",""
"darum","tom wird sich darum kümmern.","tom wird sich {{1::darum}} kümmern.","tom will deal with it.","First 2 letters: da...","306","0.48256410256410254",""
"bald","tom wird bald dort sein.","tom wird {{1::bald}} dort sein.","tom will soon be there.","First 1 letter: b...","931","0.4211574074074074",""
"meinem","tom wird meinem rat folgen.","tom wird {{1::meinem}} rat folgen.","tom will follow my advice.","First 2 letters: me...","1193","0.4807204610951009",""
"erwarten","tom wird das erwarten.","tom wird das {{1::erwarten}}.","tom will be expecting that.","First 2 letters: er...","214","0.45174216027874564",""
"zurückkommen","tom wird nie zurückkommen.","tom wird nie {{1::zurückkommen}}.","tom will never come back.","First 3 letters: zur...","115","0.4512953367875648",""
"verkaufen","tom wird sein haus verkaufen.","tom wird sein haus {{1::verkaufen}}.","tom will sell his house.","First 3 letters: ver...","273","0.44219298245614036",""
"zurückkommen","tom wird bald zurückkommen.","tom wird bald {{1::zurückkommen}}.","tom will come back soon.","First 3 letters: zur...","115","0.4512953367875648",""
"glauben","niemand wird tom glauben.","niemand wird tom {{1::glauben}}.","no one will believe tom.","First 2 letters: gl...","1027","0.45094696969696973",""
"nötig","tom wird hilfe nötig haben.","tom wird hilfe {{1::nötig}} haben.","tom will need some help.","First 2 letters: nö...","141","0.48138888888888887",""
"glauben","das wird tom nie glauben.","das wird tom nie {{1::glauben}}.","tom will never believe that.","First 2 letters: gl...","1027","0.44094696969696967",""
"bestes","tom wird sein bestes geben.","tom wird sein {{1::bestes}} geben.","tom will do his best.","First 2 letters: be...","125","0.4813297872340425",""
"tages","eines tages wird tom es begreifen.","eines {{1::tages}} wird tom es begreifen.","one day, tom will understand.","First 2 letters: ta...","197","0.43497807017543855",""
"leider","tom wird leider durchfallen.","tom wird {{1::leider}} durchfallen.","i'm afraid tom will fail.","First 2 letters: le...","256","0.5020408163265306",""
"nächste","tom wird nächste woche wiederkommen.","tom wird {{1::nächste}} woche wiederkommen.","tom will return next week.","First 2 letters: nä...","454","0.4906382978723405",""
"mittag","tom kommt am mittag.","tom kommt am {{1::mittag}}.","tom will come at noon.","First 2 letters: mi...","292","0.4523923444976077",""
