"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"ziel","was ist dein ziel in tatoeba?","was ist dein {{1::ziel}} in tatoeba?","what's your aim in tatoeba?","First 1 letter: z...","173","0.44152439024390244",""
"ziel","was ist ihr ziel in tatoeba?","was ist ihr {{1::ziel}} in tatoeba?","what's your aim in tatoeba?","First 1 letter: z...","173","0.44152439024390244",""
"ziel","was ist euer ziel in tatoeba?","was ist euer {{1::ziel}} in tatoeba?","what's your aim in tatoeba?","First 1 letter: z...","173","0.44152439024390244",""
"herbst","blätter werden im herbst braun.","blätter werden im {{1::herbst}} braun.","leaves go brown in autumn.","First 2 letters: he...","133","0.48135869565217393",""
"ärztin","holen sie eine ärztin.","holen sie eine {{1::ärztin}}.","get a doctor in here.","First 2 letters: är...","222","0.45179211469534053",""
"wart","ihr wart im koma.","ihr {{1::wart}} im koma.","you were in a coma.","First 1 letter: w...","278","0.39224215246636773",""
"land","ich lebe auf dem land.","ich lebe auf dem {{1::land}}.","i live in the country.","First 1 letter: l...","751","0.381984126984127",""
"wetter","wie ist das wetter im iran?","wie ist das {{1::wetter}} im iran?","how's the weather in iran?","First 2 letters: we...","449","0.5096153846153846",""
"wachsen","wilde orchideen wachsen in den regenwäldern.","wilde orchideen {{1::wachsen}} in den regenwäldern.","wild orchids grow in rainforests.","First 2 letters: wa...","101","0.46791666666666665",""
"chinesisch","ich lerne chinesisch in beijing.","ich lerne {{1::chinesisch}} in beijing.","i’m learning chinese in beijing.","First 3 letters: chi...","134","0.48136239782016355",""
"straßen","auf den straßen herrscht chaos.","auf den {{1::straßen}} herrscht chaos.","disorder prevails in the street.","First 2 letters: st...","110","0.4812787723785167",""
"chinesisch","stelle dich kurz auf chinesisch vor!","stelle dich kurz auf {{1::chinesisch}} vor!","describe yourself shortly in chinese.","First 3 letters: chi...","134","0.4680290644868302",""
"beim","tom ist beim bau.","tom ist {{1::beim}} bau.","tom's in the construction business.","First 1 letter: b...","1128","0.44079491255961845",""
"lese","ich lese nie im bett.","ich {{1::lese}} nie im bett.","i never read in bed.","First 1 letter: l...","161","0.3814705882352941",""
"lese","ich lese oft im bett.","ich {{1::lese}} oft im bett.","i often read in bed.","First 1 letter: l...","161","0.3814705882352941",""
