"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"unhöflich","tom war sehr unhöflich.","tom war sehr {{1::unhöflich}}.","tom was very impolite.","First 3 letters: unh...","123","0.45132275132275135",""
"eingeschlafen","tom war fast eingeschlafen.","tom war fast {{1::eingeschlafen}}.","tom was almost asleep.","First 3 letters: ein...","119","0.4513089005235602",""
"total","tom war total blank.","tom war {{1::total}} blank.","tom was very broke.","First 2 letters: to...","115","0.5012953367875648",""
"nett","tom war nie nett.","tom war nie {{1::nett}}.","tom never was nice.","First 1 letter: n...","365","0.3936764705882353",""
"bereits","tom war bereits hier.","tom war {{1::bereits}} hier.","tom was already here.","First 2 letters: be...","572","0.5068493150684932",""
"vermutlich","tom machte vermutlich witze.","tom machte {{1::vermutlich}} witze.","tom was probably joking.","First 3 letters: ver...","147","0.5014124293785311",""
"vermutlich","es war vermutlich tom.","es war {{1::vermutlich}} tom.","it was probably tom.","First 3 letters: ver...","147","0.5014124293785311",""
"erst","tom war erst 13.","tom war {{1::erst}} 13.","tom was only thirteen.","First 1 letter: e...","592","0.4120430107526882",""
"äußerst","tom war äußerst unhöflich.","tom war {{1::äußerst}} unhöflich.","tom was extremely rude.","First 2 letters: äu...","154","0.5014409221902018",""
"befreundet","wir waren mit tom befreundet.","wir waren mit tom {{1::befreundet}}.","tom was our friend.","First 3 letters: bef...","196","0.441639344262295",""
"klasse","tom war echt klasse.","tom war echt {{1::klasse}}.","tom was really wonderful.","First 2 letters: kl...","309","0.4526041666666667",""
"zusammen","tom war mit uns zusammen.","tom war mit uns {{1::zusammen}}.","tom was with us.","First 2 letters: zu...","1113","0.44081433224755695",""
"unser","tom war unser nachbar.","tom war {{1::unser}} nachbar.","tom was our neighbor.","First 2 letters: un...","873","0.5013368983957219",""
"marys","tom war marys stiefkind.","tom war {{1::marys}} stiefkind.","tom was mary's stepchild.","First 2 letters: ma...","178","0.5015479876160991",""
"mein","tom war mein held.","tom war {{1::mein}} held.","tom was my hero.","First 1 letter: m...","5468","0.4401006238679815",""
"lehrer","tom war mein lehrer.","tom war mein {{1::lehrer}}.","tom was my teacher.","First 2 letters: le...","902","0.4512406947890819",""
"freund","tom war mein freund.","tom war mein {{1::freund}}.","tom was my friend.","First 2 letters: fr...","1299","0.450625",""
