"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"auf","hör auf tom!","hör {{1::auf}} tom!","listen to tom.","First 1 letter: a...","14961","0.3467012400313465",""
"gut","tom sah gut aus.","tom sah {{1::gut}} aus.","tom looked good.","First 1 letter: g...","4577","0.3801226091221187",""
"arbeit","gute arbeit, tom!","gute {{1::arbeit}}, tom!","good work, tom.","First 2 letters: ar...","1977","0.4670049616599008",""
"weinen","tom fing an zu weinen.","tom fing an zu {{1::weinen}}.","tom started crying.","First 2 letters: we...","326","0.44285714285714284",""
"gegessen","tom hat’s gegessen.","tom hat’s {{1::gegessen}}.","tom ate it.","First 2 letters: ge...","906","0.4678951678951679",""
"große","tom gibt sich große mühe.","tom gibt sich {{1::große}} mühe.","tom tries hard.","First 2 letters: gr...","778","0.48179211469534056",""
"her","komm her, tom.","komm {{1::her}}, tom.","come here, tom.","First 1 letter: h...","465","0.3605555555555555",""
"träume","süße träume, tom.","süße {{1::träume}}, tom.","sweet dreams, tom.","First 2 letters: tr...","162","0.46814159292035395",""
"morgen","guten morgen, tom.","guten {{1::morgen}}, tom.","good morning, tom.","First 2 letters: mo...","3028","0.46686437327006725",""
"sich","tom zog sich um.","tom zog {{1::sich}} um.","tom changed clothes.","First 1 letter: s...","14708","0.4400351889647407",""
"bei","sie ist bei tom.","sie ist {{1::bei}} tom.","she's with tom.","First 1 letter: b...","3800","0.3801514692517419",""
"getan","tom hat mir weh getan.","tom hat mir weh {{1::getan}}.","tom hurt me.","First 2 letters: ge...","1757","0.4403974562798092",""
"fahren","lass tom fahren.","lass tom {{1::fahren}}.","let tom drive.","First 2 letters: fa...","1131","0.467457805907173",""
"sicher","tom weiß es sicher.","tom weiß es {{1::sicher}}.","tom should know.","First 2 letters: si...","1293","0.4506297229219144",""
"erklärt","tom hat es erklärt.","tom hat es {{1::erklärt}}.","tom explained it.","First 2 letters: er...","151","0.45142857142857146",""
"australien","tom hat australien besucht.","tom hat {{1::australien}} besucht.","tom visited australia.","First 3 letters: aus...","1310","0.500616522811344",""
"erwartet","tom hat es erwartet.","tom hat es {{1::erwartet}}.","tom expected it.","First 2 letters: er...","371","0.45384615384615384",""
"treffen","wir werden tom treffen.","wir werden tom {{1::treffen}}.","we'll meet tom.","First 2 letters: tr...","767","0.45186567164179103",""
"sagen","wir werden es tom sagen.","wir werden es tom {{1::sagen}}.","we'll tell tom.","First 2 letters: sa...","3586","0.44016196954972464",""
"verletzen","wer würde tom verletzen?","wer würde tom {{1::verletzen}}?","who'd hurt tom?","First 3 letters: ver...","107","0.4512690355329949",""
"küssen","wer würde tom küssen?","wer würde tom {{1::küssen}}?","who'd kiss tom?","First 2 letters: kü...","239","0.45190839694656487",""
"bei","wer ist bei tom?","wer ist {{1::bei}} tom?","who's with tom?","First 1 letter: b...","3800","0.3801514692517419",""
"wird","was wird tom tun?","was {{1::wird}} tom tun?","what'll tom do?","First 1 letter: w...","7062","0.39007618467164407",""
"mit","was ist mit tom?","was ist {{1::mit}} tom?","what about tom?","First 1 letter: m...","14604","0.3800354484225452",""
"hat","was hat tom?","was {{1::hat}} tom?","what's tom got?","First 1 letter: h...","25563","0.346686615597404",""
"vielleicht","vielleicht ist es tom.","{{1::vielleicht}} ist es tom.","maybe it's tom.","First 3 letters: vie...","1377","0.40056947608200455",""
