"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"socken","tom ist ganz von den socken.","tom ist ganz von den {{1::socken}}.","tom is flabbergasted.","First 2 letters: so...","119","0.4346422338568935",""
"lustig","tom ist lustig.","tom ist {{1::lustig}}.","tom is fun.","First 2 letters: lu...","269","0.46882183908045977",""
"ruhig","tom ist ruhig.","tom ist {{1::ruhig}}.","tom is calm.","First 2 letters: ru...","282","0.46894977168949775",""
"böse","tom ist böse.","tom ist {{1::böse}}.","tom is evil.","First 1 letter: b...","272","0.4088500727802038",""
"tun","tom hat zu tun.","tom hat zu {{1::tun}}.","tom is busy.","First 1 letter: t...","4627","0.3301211240310078",""
"kalt","tom ist kalt.","tom ist {{1::kalt}}.","tom is cold.","First 1 letter: k...","587","0.41234848484848485",""
"laut","tom ist laut.","tom ist {{1::laut}}.","tom is loud.","First 1 letter: l...","247","0.40863517060367455",""
"nett","tom ist nett.","tom ist {{1::nett}}.","tom is nice.","First 1 letter: n...","365","0.41034313725490196",""
"reich","tom ist reich.","tom ist {{1::reich}}.","tom is rich.","First 2 letters: re...","476","0.4866666666666667",""
"recht","hat tom recht?","hat tom {{1::recht}}?","is tom right?","First 2 letters: re...","1082","0.4675242995997713",""
"draußen","ist tom draußen?","ist tom {{1::draußen}}?","is tom outside?","First 2 letters: dr...","666","0.4696606786427146",""
"zieht","tom zieht sich zurück.","tom {{1::zieht}} sich zurück.","tom is retiring.","First 2 letters: zi...","161","0.4514705882352941",""
"wartet","tom wartet.","tom {{1::wartet}}.","tom is waiting.","First 2 letters: wa...","322","0.5027932960893855",""
"studiert","tom studiert.","tom {{1::studiert}}.","tom is studying.","First 2 letters: st...","238","0.5019011406844107",""
"sitzt","tom sitzt.","tom {{1::sitzt}}.","tom is sitting.","First 2 letters: si...","295","0.5024271844660194",""
"sieht","tom sieht zu.","tom {{1::sieht}} zu.","tom is watching.","First 2 letters: si...","1344","0.467258382642998",""
"redet","tom redet.","tom {{1::redet}}.","tom is talking.","First 2 letters: re...","190","0.5016077170418006",""
"lernt","tom lernt.","tom {{1::lernt}}.","tom is learning.","First 2 letters: le...","292","0.5023923444976077",""
"läuft","tom läuft schlittschuh.","tom {{1::läuft}} schlittschuh.","tom is skating.","First 2 letters: lä...","268","0.4688125894134477",""
"willkommen","tom ist willkommen.","tom ist {{1::willkommen}}.","tom is welcome.","First 3 letters: wil...","176","0.4682051282051282",""
"vorbereitet","tom ist vorbereitet.","tom ist {{1::vorbereitet}}.","tom is prepared.","First 3 letters: vor...","126","0.468",""
"versucht","tom ist versucht.","tom ist {{1::versucht}}.","tom is tempted.","First 2 letters: ve...","644","0.47011494252873565",""
"sicher","tom ist sich sicher.","tom ist sich {{1::sicher}}.","tom is certain.","First 2 letters: si...","1293","0.4506297229219144",""
"seltsam","tom ist seltsam.","tom ist {{1::seltsam}}.","tom is strange.","First 2 letters: se...","151","0.4680952380952381",""
"besorgt","tom ist sehr besorgt.","tom ist sehr {{1::besorgt}}.","tom is anxious.","First 2 letters: be...","212","0.4517301038062284",""
"schwer","tom ist schwer zu fassen.","tom ist {{1::schwer}} zu fassen.","tom is elusive.","First 2 letters: sc...","933","0.48115207373271895",""
"schneller","tom ist schneller.","tom ist {{1::schneller}}.","tom is quicker.","First 3 letters: sch...","216","0.46842105263157896",""
"pünktlich","tom ist pünktlich.","tom ist {{1::pünktlich}}.","tom is punctual.","First 3 letters: pün...","203","0.46834451901566",""
"perfekt","tom ist perfekt.","tom ist {{1::perfekt}}.","tom is perfect.","First 2 letters: pe...","159","0.4681286549707602",""
"hungrig","tom ist hungrig.","tom ist {{1::hungrig}}.","tom is starved.","First 2 letters: hu...","240","0.4685823754789272",""
"großartig","tom ist großartig.","tom ist {{1::großartig}}.","tom is terrific.","First 3 letters: gro...","112","0.4679520137103685",""
"geschichte","tom ist geschichte.","tom ist {{1::geschichte}}.","tom is history.","First 3 letters: ges...","796","0.46835016835016835",""
"fleißig","tom ist fleißig.","tom ist {{1::fleißig}}.","tom is studious.","First 2 letters: fl...","162","0.468141592920354",""
"etwas","tom ist etwas besonderes.","tom ist {{1::etwas}} besonderes.","tom is special.","First 2 letters: et...","6008","0.5000907605736069",""
"ernst","tom ist es ernst.","tom ist es {{1::ernst}}.","tom is serious.","First 2 letters: er...","255","0.45203252032520325",""
"entschlossen","tom ist entschlossen.","tom ist {{1::entschlossen}}.","tom is resolute.","First 3 letters: ent...","102","0.4679197994987469",""
"eingeladen","tom ist eingeladen.","tom ist {{1::eingeladen}}.","tom is invited.","First 3 letters: ein...","311","0.4692982456140351",""
"eifersüchtig","tom ist eifersüchtig.","tom ist {{1::eifersüchtig}}.","tom is jealous.","First 3 letters: eif...","169","0.46817269076305223",""
"ehrlich","tom ist ehrlich.","tom ist {{1::ehrlich}}.","tom is truthful.","First 2 letters: eh...","234","0.46853932584269664",""
"dankbar","tom ist dankbar.","tom ist {{1::dankbar}}.","tom is grateful.","First 2 letters: da...","159","0.4681286549707602",""
"beliebt","tom ist beliebt.","tom ist {{1::beliebt}}.","tom is popular.","First 2 letters: be...","150","0.4680911680911681",""
"ähnlich","tom ist ähnlich.","tom ist {{1::ähnlich}}.","tom is similar.","First 2 letters: äh...","119","0.46797556719022687",""
"hilft","tom hilft.","tom {{1::hilft}}.","tom is helping.","First 2 letters: hi...","260","0.5020746887966805",""
