"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"dazu","was hat tom dazu zu sagen?","was hat tom {{1::dazu}} zu sagen?","what's tom have to say about this?","First 1 letter: d...","801","0.44165562913907286",""
"wovon","vielleicht weiß tom etwas, wovon wir keine kenntnis haben.","vielleicht weiß tom etwas, {{1::wovon}} wir keine kenntnis haben.","perhaps tom knows something that we don't.","First 2 letters: wo...","132","0.4902439024390244",""
"sonntags","tom muss sonntags nicht arbeiten.","tom muss {{1::sonntags}} nicht arbeiten.","tom doesn't have to work on sundays.","First 2 letters: so...","116","0.48129870129870134",""
"nummer","tom wollte schon immer die nummer eins sein.","tom wollte schon immer die {{1::nummer}} eins sein.","tom has always wanted to be no. 1.","First 2 letters: nu...","164","0.4764836795252225",""
"aussieht","niemand weiß, wie tom aussieht.","niemand weiß, wie tom {{1::aussieht}}.","no one knows what tom looks like.","First 2 letters: au...","101","0.4412499999999999",""
"welche","tom kann sich nicht entscheiden, welche kamera er kaufen soll.","tom kann sich nicht entscheiden, {{1::welche}} kamera er kaufen soll.","tom can't decide which camera to buy.","First 2 letters: we...","911","0.5012135922330097",""
"rücken","tom nickte, mir den rücken zugekehrt.","tom nickte, mir den {{1::rücken}} zugekehrt.","tom nodded, his back turned to me.","First 2 letters: rü...","203","0.46834451901566",""
"möchten","wir möchten das mit tom machen.","wir {{1::möchten}} das mit tom machen.","we want to do it with tom.","First 2 letters: mö...","471","0.44999999999999996",""
"unterwegs","bitte sag tom, daß wir unterwegs sind!","bitte sag tom, daß wir {{1::unterwegs}} sind!","please tell tom we're on our way.","First 3 letters: unt...","106","0.45840867992766726",""
"studenten","tom ist mit seinen studenten nicht streng genug.","tom ist mit seinen {{1::studenten}} nicht streng genug.","tom isn't strict enough with his students.","First 3 letters: stu...","268","0.502145922746781",""
