"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"arbeitet","tom arbeitet schnell.","tom {{1::arbeitet}} schnell.","tom works fast.","First 2 letters: ar...","700","0.46915422885572133",""
"keine","tom hatte keine glatze.","tom hatte {{1::keine}} glatze.","tom wasn't bald.","First 2 letters: ke...","4791","0.500116495806151",""
"scheint","tom scheint nett zu sein.","tom {{1::scheint}} nett zu sein.","tom seems kind.","First 2 letters: sc...","1119","0.4408064516129032",""
"stand","tom stand nicht.","tom {{1::stand}} nicht.","tom didn't stand.","First 2 letters: st...","483","0.49444444444444446",""
"vertraut","tom vertraut ihr.","tom {{1::vertraut}} ihr.","tom trusts her.","First 2 letters: ve...","161","0.4681372549019608",""
"sah","tom sah sie.","tom {{1::sah}} sie.","tom saw her.","First 1 letter: s...","1474","0.34717948717948716",""
"gesehen","tom hat sie gesehen.","tom hat sie {{1::gesehen}}.","tom saw her.","First 2 letters: ge...","2471","0.4502535496957404",""
"messer","tom stach sie mit dem messer.","tom stach sie mit dem {{1::messer}}.","tom stabbed her.","First 2 letters: me...","252","0.43534136546184743",""
"sagte","tom sagte es ihr.","tom {{1::sagte}} es ihr.","tom told her.","First 2 letters: sa...","3396","0.45017259233690027",""
"geliebt","tom hat sie geliebt.","tom hat sie {{1::geliebt}}.","tom loved her.","First 2 letters: ge...","184","0.45157728706624606",""
"gefallen","ist tom gefallen?","ist tom {{1::gefallen}}?","did tom fall?","First 2 letters: ge...","979","0.46770833333333334",""
"gelogen","tom hat nie gelogen.","tom hat nie {{1::gelogen}}.","tom never lied.","First 2 letters: ge...","161","0.4514705882352941",""
"offensichtlich","tom hat offensichtlich gelogen.","tom hat {{1::offensichtlich}} gelogen.","tom obviously lied.","First 3 letters: off...","217","0.5017605633802817",""
"gelogen","sogar tom hat gelogen.","sogar tom hat {{1::gelogen}}.","even tom lied.","First 2 letters: ge...","161","0.4514705882352941",""
"tennis","tom spielt tennis.","tom spielt {{1::tennis}}.","tom plays tennis.","First 2 letters: te...","337","0.46971544715447155",""
"tennis","tom spielte tennis.","tom spielte {{1::tennis}}.","tom played tennis.","First 2 letters: te...","337","0.46971544715447155",""
"entlassen","tom hat john entlassen.","tom hat john {{1::entlassen}}.","tom fired john.","First 3 letters: ent...","242","0.45193050193050194",""
"wirst","du wirst tom sehen.","du {{1::wirst}} tom sehen.","you'll see tom.","First 2 letters: wi...","1331","0.4506009615384616",""
"lächelte","tom lächelte auch.","tom {{1::lächelte}} auch.","tom also smiled.","First 2 letters: lä...","187","0.4682590233545647",""
"pizza","tom bestellte pizza.","tom bestellte {{1::pizza}}.","tom ordered pizza.","First 2 letters: pi...","220","0.46844602609727165",""
"pizza","tom mag pizza.","tom mag {{1::pizza}}.","tom likes pizza.","First 2 letters: pi...","220","0.46844602609727165",""
"bring","bring tom mit.","{{1::bring}} tom mit.","bring tom along.","First 2 letters: br...","191","0.40161290322580645",""
"bringen","wir werden tom bringen.","wir werden tom {{1::bringen}}.","we'll bring tom.","First 2 letters: br...","644","0.453448275862069",""
"hierher","bring tom hierher!","bring tom {{1::hierher}}!","bring tom here.","First 2 letters: hi...","335","0.46967871485943774",""
"schlecht","tom riecht schlecht.","tom riecht {{1::schlecht}}.","tom smells bad.","First 2 letters: sc...","480","0.49047619047619045",""
"schlecht","tom fühlte sich schlecht.","tom fühlte sich {{1::schlecht}}.","tom felt bad.","First 2 letters: sc...","480","0.4738095238095238",""
"schlecht","tom sieht schlecht aus.","tom sieht {{1::schlecht}} aus.","tom looks bad.","First 2 letters: sc...","480","0.5238095238095237",""
"fällt","tom fällt nie hin.","tom {{1::fällt}} nie hin.","tom never falls.","First 2 letters: fä...","326","0.45285714285714285",""
"musste","tom musste sich ausruhen.","tom {{1::musste}} sich ausruhen.","tom needed rest.","First 2 letters: mu...","553","0.45925925925925926",""
"braucht","tom braucht ruhe.","tom {{1::braucht}} ruhe.","tom needs rest.","First 2 letters: br...","949","0.46777777777777774",""
"normal","tom sieht normal aus.","tom sieht {{1::normal}} aus.","tom looks normal.","First 2 letters: no...","105","0.5012626262626263",""
"lügt","tom lügt nie.","tom {{1::lügt}} nie.","tom never lies.","First 1 letter: l...","119","0.4079755671902269",""
"lügen","tom verabscheut lügen.","tom verabscheut {{1::lügen}}.","tom despises lies.","First 2 letters: lü...","202","0.46833890746934226",""
"immer","tom lügt immer.","tom lügt {{1::immer}}.","tom always lies.","First 2 letters: im...","5213","0.4667727337010324",""
"erzählt","tom erzählt lügen.","tom {{1::erzählt}} lügen.","tom tells lies.","First 2 letters: er...","508","0.5222222222222221",""
"leise","tom sang leise.","tom sang {{1::leise}}.","tom sang softly.","First 2 letters: le...","112","0.4679520137103685",""
"geholfen","er hat tom geholfen.","er hat tom {{1::geholfen}}.","he helped tom.","First 2 letters: ge...","447","0.45925925925925926",""
"glaubte","er glaubte tom.","er {{1::glaubte}} tom.","he believed tom.","First 2 letters: gl...","171","0.46818181818181814",""
"spielte","tom spielte basketball.","tom {{1::spielte}} basketball.","tom played basketball.","First 2 letters: sp...","223","0.4684652278177458",""
"geblieben","tom ist cool geblieben.","tom ist cool {{1::geblieben}}.","tom remained cool.","First 3 letters: geb...","193","0.45162337662337665",""
"sieht","tom sieht cool aus.","tom {{1::sieht}} cool aus.","tom looks cool.","First 2 letters: si...","1344","0.45059171597633135",""
"blieb","tom blieb cool.","tom {{1::blieb}} cool.","tom stayed cool.","First 2 letters: bl...","306","0.46923076923076923",""
"hasst","tom hasst halloween.","tom {{1::hasst}} halloween.","tom hates halloween.","First 2 letters: ha...","260","0.46874135546334716",""
"wurde","tom wurde weiß.","tom {{1::wurde}} weiß.","tom turned white.","First 2 letters: wu...","4518","0.466791075723646",""
"trinkt","tom trinkt nicht.","tom {{1::trinkt}} nicht.","tom doesn't drink.","First 2 letters: tr...","377","0.4706989247311828",""
"singt","singt tom?","{{1::singt}} tom?","does tom sing?","First 2 letters: si...","167","0.40149700598802396",""
"singt","tom singt nicht.","tom {{1::singt}} nicht.","tom doesn't sing.","First 2 letters: si...","167","0.4681636726546906",""
"singen","lass tom singen.","lass tom {{1::singen}}.","let tom sing.","First 2 letters: si...","464","0.4801801801801802",""
"liebt","tom liebt rum.","tom {{1::liebt}} rum.","tom likes rum.","First 2 letters: li...","618","0.47086834733893557",""
"unterrichtet","tom unterrichtet yoga.","tom {{1::unterrichtet}} yoga.","tom teaches yoga.","First 3 letters: unt...","137","0.46804029304029304",""
"scheint","tom scheint fair zu sein.","tom {{1::scheint}} fair zu sein.","tom seems fair.","First 2 letters: sc...","1119","0.4408064516129032",""
"ordnung","tom scheint in ordnung zu sein.","tom scheint in {{1::ordnung}} zu sein.","tom appears ok.","First 2 letters: or...","259","0.5020661157024793",""
"fehlt","es fehlt tom an motivation.","es {{1::fehlt}} tom an motivation.","tom lacks motivation.","First 2 letters: fe...","249","0.4419841269841269",""
"fehlt","es fehlt tom an antrieb.","es {{1::fehlt}} tom an antrieb.","tom lacks motivation.","First 2 letters: fe...","249","0.4419841269841269",""
"lief","tom lief weg.","tom {{1::lief}} weg.","tom ran away.","First 1 letter: l...","271","0.40884057971014487",""
"nach","tom lief nach oben.","tom lief {{1::nach}} oben.","tom ran upstairs.","First 1 letter: n...","7123","0.44007548309178746",""
"draußen","tom rannte nach draußen.","tom rannte nach {{1::draußen}}.","tom ran outside.","First 2 letters: dr...","666","0.45299401197604794",""
"rannte","thomas rannte weg.","thomas {{1::rannte}} weg.","tom ran away.","First 2 letters: ra...","181","0.4682291666666667",""
"rannte","tom rannte nach innen.","tom {{1::rannte}} nach innen.","tom ran inside.","First 2 letters: ra...","181","0.45156250000000003",""
"zeigen","wir werden es tom zeigen.","wir werden es tom {{1::zeigen}}.","we'll show tom.","First 2 letters: ze...","463","0.4531578947368421",""
"kauft","tom kauft online.","tom {{1::kauft}} online.","tom shops online.","First 2 letters: ka...","128","0.4680071492403932",""
"lebt","tom lebt im netz.","tom {{1::lebt}} im netz.","tom lives online.","First 1 letter: l...","611","0.3944642857142857",""
"letzter","tom kam als letzter an.","tom kam als {{1::letzter}} an.","tom arrived last.","First 2 letters: le...","312","0.48264550264550266",""
"dinge","tom sieht dinge.","tom sieht {{1::dinge}}.","tom sees things.","First 2 letters: di...","420","0.4728395061728395",""
"scheint","tom scheint klug.","tom {{1::scheint}} klug.","tom seems clever.","First 2 letters: sc...","1119","0.46747311827956983",""
"letzter","tom wurde letzter.","tom wurde {{1::letzter}}.","tom finished last.","First 2 letters: le...","312","0.4693121693121693",""
"benutzt","tom benutzt windows 7.","tom {{1::benutzt}} windows 7.","tom uses windows 7.","First 2 letters: be...","243","0.4686046511627907",""
"spielt","tom spielt rugby.","tom {{1::spielt}} rugby.","tom plays rugby.","First 2 letters: sp...","688","0.46931216931216924",""
"spielt","tom spielt hockey.","tom {{1::spielt}} hockey.","tom plays hockey.","First 2 letters: sp...","688","0.46931216931216924",""
"hasse","ich hasse tom.","ich {{1::hasse}} tom.","i hate tom.","First 2 letters: ha...","375","0.47063492063492063",""
"liebe","ich liebe tom.","ich {{1::liebe}} tom.","i love tom.","First 2 letters: li...","1285","0.4673027989821883",""
"heiratete","ich heiratete tom.","ich {{1::heiratete}} tom.","i married tom.","First 3 letters: hei...","101","0.46791666666666665",""
"gesehen","ich habe tom gesehen.","ich habe tom {{1::gesehen}}.","i've seen tom.","First 2 letters: ge...","2471","0.4502535496957404",""
"getroffen","ich habe tom getroffen.","ich habe tom {{1::getroffen}}.","i've seen tom.","First 3 letters: get...","591","0.4554347826086957",""
"gewesen","ich bin bei tom gewesen.","ich bin bei tom {{1::gewesen}}.","i've seen tom.","First 2 letters: ge...","945","0.44112107623318386",""
"versprochen","ich habe es tom versprochen.","ich habe es tom {{1::versprochen}}.","i promised tom.","First 3 letters: ver...","261","0.4420833333333333",""
"erinnere","ich erinnere mich an tom.","ich {{1::erinnere}} mich an tom.","i remember tom.","First 2 letters: er...","228","0.44183150183150177",""
"erinnert","ich habe mich an tom erinnert.","ich habe mich an tom {{1::erinnert}}.","i remembered tom.","First 2 letters: er...","173","0.43485772357723573",""
"kenne","ich kenne tom.","ich {{1::kenne}} tom.","i know tom.","First 2 letters: ke...","829","0.46818181818181814",""
"besucht","ich habe tom besucht.","ich habe tom {{1::besucht}}.","i visited tom.","First 2 letters: be...","311","0.45263157894736844",""
