"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"sprang","tom sprang zurück.","tom {{1::sprang}} zurück.","tom jumped back.","First 2 letters: sp...","125","0.4679964539007092",""
"zurück","tom rief zurück.","tom rief {{1::zurück}}.","tom called back.","First 2 letters: zu...","1400","0.46722160562338144",""
"gewonnen","tom muss gewonnen haben.","tom muss {{1::gewonnen}} haben.","tom must've won.","First 2 letters: ge...","357","0.5034722222222222",""
"entscheiden","tom muss entscheiden.","tom muss {{1::entscheiden}}.","tom must decide.","First 3 letters: ent...","167","0.4681636726546906",""
"machte","tom machte lärm.","tom {{1::machte}} lärm.","tom made noise.","First 2 letters: ma...","683","0.46938405797101446",""
"machte","tom machte kaffee.","tom {{1::machte}} kaffee.","tom made coffee.","First 2 letters: ma...","683","0.46938405797101446",""
"abendessen","tom machte abendessen.","tom machte {{1::abendessen}}.","tom made dinner.","First 3 letters: abe...","462","0.4794871794871795",""
"lebt","tom lebt dort.","tom {{1::lebt}} dort.","tom lives there.","First 1 letter: l...","611","0.4111309523809524",""
"lächelte","tom lächelte zurück.","tom {{1::lächelte}} zurück.","tom smiled back.","First 2 letters: lä...","187","0.4682590233545647",""
"gestorben","tom ist dort gestorben.","tom ist dort {{1::gestorben}}.","tom died there.","First 3 letters: ges...","372","0.4538759689922481",""
"gefragt","tom hat nie gefragt.","tom hat nie {{1::gefragt}}.","tom never asked.","First 2 letters: ge...","329","0.45290697674418606",""
"gewonnen","tom hat fast gewonnen.","tom hat fast {{1::gewonnen}}.","tom almost won.","First 2 letters: ge...","357","0.4534722222222222",""
"weiter","tom ging weiter.","tom ging {{1::weiter}}.","tom kept going.","First 2 letters: we...","564","0.4743589743589744",""
"fragte","tom fragte noch einmal.","tom {{1::fragte}} noch einmal.","tom asked again.","First 2 letters: fr...","600","0.45495049504950497",""
"brauchte","tom brauchte zeit.","tom {{1::brauchte}} zeit.","tom needed time.","First 2 letters: br...","228","0.4684981684981685",""
"brauchte","tom brauchte hoffnung.","tom {{1::brauchte}} hoffnung.","tom needed hope.","First 2 letters: br...","228","0.4684981684981685",""
"hoffnung","tom braucht hoffnung.","tom braucht {{1::hoffnung}}.","tom needs hope.","First 2 letters: ho...","221","0.46845238095238095",""
"nach","suchen wir nach tom.","suchen wir {{1::nach}} tom.","let's find tom.","First 1 letter: n...","7123","0.44007548309178746",""
"rufen","rufen wir tom an.","{{1::rufen}} wir tom an.","let's call tom.","First 2 letters: ru...","255","0.4020325203252032",""
"mögen","die leute mögen tom.","die leute {{1::mögen}} tom.","people like tom.","First 2 letters: mö...","585","0.5058139534883721",""
"dort","halte tom dort.","halte tom {{1::dort}}.","keep tom there.","First 1 letter: d...","1580","0.40712920135676844",""
"lieben","frauen lieben tom.","frauen {{1::lieben}} tom.","women like tom.","First 2 letters: li...","407","0.4719858156028368",""
"mögen","du würdest tom mögen.","du würdest tom {{1::mögen}}.","you'd like tom.","First 2 letters: mö...","585","0.4558139534883721",""
"bitte","bitte ruf tom an.","{{1::bitte}} ruf tom an.","please call tom.","First 2 letters: bi...","4375","0.40012899896800824",""
"bitte","bitte hol tom.","{{1::bitte}} hol tom.","please get tom.","First 2 letters: bi...","4375","0.40012899896800824",""
"finde","bitte finde tom.","bitte {{1::finde}} tom.","please find tom.","First 2 letters: fi...","786","0.4684088269454123",""
"wohnt","tom wohnt dort.","tom {{1::wohnt}} dort.","tom lives there.","First 2 letters: wo...","730","0.4688311688311688",""
"möglicherweise","tom sagt möglicherweise aus.","tom sagt {{1::möglicherweise}} aus.","tom may testify.","First 3 letters: mög...","145","0.5014044943820224",""
"wartete","tom wartete dort.","tom {{1::wartete}} dort.","tom waited there.","First 2 letters: wa...","184","0.4682439537329127",""
"blick","tom warf einen blick zurück.","tom warf einen {{1::blick}} zurück.","tom glanced back.","First 2 letters: bl...","197","0.4816447368421053",""
"zurück","tom trat zurück.","tom trat {{1::zurück}}.","tom stepped back.","First 2 letters: zu...","1400","0.46722160562338144",""
"großartig","tom sah großartig aus.","tom sah {{1::großartig}} aus.","tom looked great.","First 3 letters: gro...","112","0.5012853470437018",""
"französisch","tom mag französisch.","tom mag {{1::französisch}}.","tom likes french.","First 3 letters: fra...","2369","0.46693404634581104",""
"wahrscheinlich","tom hat wahrscheinlich gewonnen.","tom hat {{1::wahrscheinlich}} gewonnen.","tom probably won.","First 3 letters: wah...","614","0.5043478260869565",""
"fehler","tom hat fehler gemacht.","tom hat {{1::fehler}} gemacht.","tom made mistakes.","First 2 letters: fe...","932","0.5011547344110854",""
"gefragt","niemand hat tom gefragt.","niemand hat tom {{1::gefragt}}.","nobody asked tom.","First 2 letters: ge...","329","0.45290697674418606",""
"bist","du bist wie tom.","du {{1::bist}} wie tom.","you're like tom.","First 1 letter: b...","5397","0.390102082482646",""
"französisch","tom hat französisch unterrichtet.","tom hat {{1::französisch}} unterrichtet.","tom taught french.","First 3 letters: fra...","2369","0.5002673796791444",""
"mittagessen","tom bestellte das mittagessen.","tom bestellte das {{1::mittagessen}}.","tom ordered lunch.","First 3 letters: mit...","287","0.4523364485981308",""
"wie","ich bin wie tom.","ich bin {{1::wie}} tom.","i'm like tom.","First 1 letter: w...","14349","0.3800361010830325",""
"lieben","wir lieben tom.","wir {{1::lieben}} tom.","we love tom.","First 2 letters: li...","407","0.4719858156028368",""
"kennen","wir kennen tom.","wir {{1::kennen}} tom.","we know tom.","First 2 letters: ke...","565","0.47424242424242424",""
"kommen","tom kann kommen.","tom kann {{1::kommen}}.","tom may come.","First 2 letters: ko...","2246","0.46695287158939136",""
"gemacht","tom hat reis gemacht.","tom hat reis {{1::gemacht}}.","tom made rice.","First 2 letters: ge...","2145","0.45030376670716893",""
"bleiben","tom darf bleiben.","tom darf {{1::bleiben}}.","tom may stay.","First 2 letters: bl...","1284","0.4673036093418259",""
