"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"sofa","tom lag auf dem sofa und las ein buch.","tom lag auf dem {{1::sofa}} und las ein buch.","tom was lying on the couch, reading a book.","First 1 letter: s...","187","0.43048124557678696",""
"ziehe","tom sagte mir, er ziehe nach australien.","tom sagte mir, er {{1::ziehe}} nach australien.","tom told me that he was moving to australia.","First 2 letters: zi...","108","0.48698655034532895",""
"trage","tom wurde auf einer trage vom eis geholt.","tom wurde auf einer {{1::trage}} vom eis geholt.","tom was carried off the ice on a stretcher.","First 2 letters: tr...","100","0.5012468827930174",""
"trage","tom wurde auf einer trage vom spielfeld gebracht.","tom wurde auf einer {{1::trage}} vom spielfeld gebracht.","tom was carried off the field on a stretcher.","First 2 letters: tr...","100","0.5012468827930174",""
"letztemal","wann hast du dich das letztemal mit tom gestritten?","wann hast du dich das {{1::letztemal}} mit tom gestritten?","when was the last time you and tom argued?","First 3 letters: let...","149","0.4903093434343434",""
"welchem","ich weiß nicht, aus welchem grunde tom sich verspätete.","ich weiß nicht, aus {{1::welchem}} grunde tom sich verspätete.","i don't know the reason why tom was late.","First 2 letters: we...","232","0.49074762494836843",""
"witz","tom erkannte nicht, dass der witz sich auf ihn bezog.","tom erkannte nicht, dass der {{1::witz}} sich auf ihn bezog.","tom didn't realise that the joke was on him.","First 1 letter: w...","192","0.44161812297734626",""
"haar","tom sagte mir, dass mein haar zu lang sei.","tom sagte mir, dass mein {{1::haar}} zu lang sei.","tom told me that my hair was too long.","First 1 letter: h...","317","0.4316062801932367",""
"regnete","als tom sah, dass es regnete, nahm er seinen schirm.","als tom sah, dass es {{1::regnete}}, nahm er seinen schirm.","seeing that it was raining, tom took his brolly.","First 2 letters: re...","114","0.5012919896640826",""
"wieviel","ich weiß nicht, um wieviel uhr tom hier ist.","ich weiß nicht, um {{1::wieviel}} uhr tom hier ist.","i don't know what time tom will be here.","First 2 letters: wi...","526","0.5074074074074074",""
"brasilien","tom rechnet damit, dass brasilien die weltmeisterschaft gewinnen wird.","tom rechnet damit, dass {{1::brasilien}} die weltmeisterschaft gewinnen wird.","tom thinks that brazil will win the world cup.","First 3 letters: bra...","120","0.4902012248468941",""
"mitgebracht","du errätst nie, was tom mitgebracht hat!","du errätst nie, was tom {{1::mitgebracht}} hat!","you will never guess what tom brought with him.","First 3 letters: mit...","195","0.4587768440709617",""
"aber","ich dachte, das sei tom, aber es war johannes.","ich dachte, das sei tom, {{1::aber}} es war johannes.","i thought that it was tom, but it was john.","First 1 letter: a...","2272","0.42917089678511",""
"dürfte","hallo! hier ist tom. dürfte ich mit maria sprechen?","hallo! hier ist tom. {{1::dürfte}} ich mit maria sprechen?","hi, this is tom. can i speak to mary?","First 2 letters: dü...","99","0.49013266998341626",""
"waschen","tom bat maria, ihm beim waschen des wagens zu helfen.","tom bat maria, ihm beim {{1::waschen}} des wagens zu helfen.","tom asked mary to help him wash the car.","First 2 letters: wa...","206","0.5016949152542373",""
"filme","tom sieht gerne amerikanische filme, maria dagegen europäische.","tom sieht gerne amerikanische {{1::filme}}, maria dagegen europäische.","tom likes american movies, but mary likes european movies.","First 2 letters: fi...","124","0.5013262599469497",""
