"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"letzten","tom ist letzten oktober gestorben.","tom ist {{1::letzten}} oktober gestorben.","tom died last october.","First 2 letters: le...","695","0.4825510204081632",""
"letzte","tom ist letzte woche gestorben.","tom ist {{1::letzte}} woche gestorben.","tom died last week.","First 2 letters: le...","788","0.4817301038062284",""
"viele","tom hat viele fans.","tom hat {{1::viele}} fans.","tom has many fans.","First 2 letters: vi...","3618","0.5001603077909587",""
"straße","tom überquerte die straße.","tom überquerte die {{1::straße}}.","tom crossed the street.","First 2 letters: st...","772","0.45183150183150184",""
"feind","tom ist der feind.","tom ist der {{1::feind}}.","tom is the enemy.","First 2 letters: fe...","170","0.4515105740181269",""
"beste","tom ist der beste.","tom ist der {{1::beste}}.","tom is the best.","First 2 letters: be...","481","0.47500000000000003",""
"chef","tom ist der chef.","tom ist der {{1::chef}}.","tom is the chief.","First 1 letter: c...","233","0.3918656716417911",""
"lernt","tom lernt mandarin.","tom {{1::lernt}} mandarin.","tom is learning mandarin.","First 2 letters: le...","292","0.4690590111642743",""
"derjenige","tom ist derjenige.","tom ist {{1::derjenige}}.","tom is the one.","First 3 letters: der...","163","0.4681459566074951",""
"größte","tom ist der größte.","tom ist der {{1::größte}}.","tom is the greatest.","First 2 letters: gr...","234","0.45187265917603",""
"präsident","tom ist der präsident.","tom ist der {{1::präsident}}.","tom is the president.","First 3 letters: prä...","115","0.4512953367875648",""
"derjenige","ist tom derjenige?","ist tom {{1::derjenige}}?","is tom the one?","First 3 letters: der...","163","0.4681459566074951",""
"frühling","tom geht nächsten frühling in rente.","tom geht nächsten {{1::frühling}} in rente.","tom retires next spring.","First 2 letters: fr...","178","0.5015479876160991",""
"sehe","ich sehe wie tom aus.","ich {{1::sehe}} wie tom aus.","i look like tom.","First 1 letter: s...","577","0.3864102564102564",""
"wohnung","tom schloss die wohnung ab.","tom schloss die {{1::wohnung}} ab.","tom locked the apartment.","First 2 letters: wo...","392","0.4845871559633028",""
"apfel","tom schälte den apfel.","tom schälte den {{1::apfel}}.","tom peeled the apple.","First 2 letters: ap...","278","0.45224215246636773",""
"apfel","tom aß den apfel.","tom aß den {{1::apfel}}.","tom ate the apple.","First 2 letters: ap...","278","0.45224215246636773",""
"kekse","tom hat die kekse anbrennen lassen.","tom hat die {{1::kekse}} anbrennen lassen.","tom burned the cookies.","First 2 letters: ke...","153","0.5014367816091954",""
"finde","geh und finde tom!","geh und {{1::finde}} tom!","go and find tom.","First 2 letters: fi...","786","0.5017421602787456",""
"rief","ich rief tom an.","ich {{1::rief}} tom an.","i called tom up.","First 1 letter: r...","216","0.3917543859649123",""
"vermisse","ich vermisse dich, tom.","ich {{1::vermisse}} dich, tom.","i miss you, tom.","First 2 letters: ve...","114","0.4512919896640827",""
"vermisse","ich vermisse sie, tom.","ich {{1::vermisse}} sie, tom.","i miss you, tom.","First 2 letters: ve...","114","0.4512919896640827",""
"bereits","ich vermisse tom bereits.","ich vermisse tom {{1::bereits}}.","i already miss tom.","First 2 letters: be...","572","0.45684931506849313",""
"kekse","tom isst kekse.","tom isst {{1::kekse}}.","tom is eating cookies.","First 2 letters: ke...","153","0.4681034482758621",""
"hole","gehe und hole tom.","gehe und {{1::hole}} tom.","go and fetch tom.","First 1 letter: h...","116","0.4412987012987013",""
"hilf","geh hin und hilf tom!","geh hin und {{1::hilf}} tom!","go and help tom.","First 1 letter: h...","115","0.4212953367875648",""
"stimmt","ich hoffe, tom stimmt zu.","ich hoffe, tom {{1::stimmt}} zu.","i hope tom agrees.","First 2 letters: st...","528","0.49724137931034484",""
"überzeugen","ich muss tom überzeugen.","ich muss tom {{1::überzeugen}}.","i must convince tom.","First 3 letters: übe...","102","0.45125313283208024",""
"fand","ich fand tom dort.","ich {{1::fand}} tom dort.","i found tom there.","First 1 letter: f...","466","0.4042857142857143",""
"grund","ich fragte tom nach dem grund.","ich fragte tom nach dem {{1::grund}}.","i asked tom why.","First 2 letters: gr...","465","0.4472222222222222",""
"lachen","ich habe tom zum lachen gebracht.","ich habe tom zum {{1::lachen}} gebracht.","i made tom laugh.","First 2 letters: la...","336","0.4696969696969697",""
"hoffe","ich hoffe, tom kommt.","ich {{1::hoffe}}, tom kommt.","i hope tom comes.","First 2 letters: ho...","1064","0.4508849557522124",""
"hoffe","ich hoffe, dass tom kommt.","ich {{1::hoffe}}, dass tom kommt.","i hope tom comes.","First 2 letters: ho...","1064","0.4408849557522123",""
"fast","ich hätte tom fast eine runtergehauen.","ich hätte tom {{1::fast}} eine runtergehauen.","i almost hit tom.","First 1 letter: f...","1278","0.44064184852374844",""
"auch","ich mag tom auch.","ich mag tom {{1::auch}}.","i like tom, too.","First 1 letter: a...","2723","0.39022482014388493",""
"bekannt","tom könnte mir bekannt sein.","tom könnte mir {{1::bekannt}} sein.","i may know tom.","First 2 letters: be...","214","0.4817421602787456",""
"hoffe","ich hoffe, dass tom es weiß.","ich {{1::hoffe}}, dass tom es weiß.","i hope tom knows.","First 2 letters: ho...","1064","0.4342182890855457",""
"traf","ich traf tom hier.","ich {{1::traf}} tom hier.","i met tom here.","First 1 letter: t...","226","0.39181818181818184",""
"begegnet","ich bin tom nie begegnet.","ich bin tom nie {{1::begegnet}}.","i never met tom.","First 2 letters: be...","124","0.44132625994694963",""
"liste","tom hat die liste nachgeprüft.","tom hat die {{1::liste}} nachgeprüft.","tom checked the list.","First 2 letters: li...","208","0.48170648464163823",""
"meisten","tom hat am meisten gegessen.","tom hat am {{1::meisten}} gegessen.","tom ate the most.","First 2 letters: me...","426","0.4866666666666667",""
"solltet","ihr solltet tom verklagen.","ihr {{1::solltet}} tom verklagen.","you should sue tom.","First 2 letters: so...","438","0.457936507936508",""
"brauche","ich brauche nur tom.","ich {{1::brauche}} nur tom.","i only need tom.","First 2 letters: br...","944","0.451123595505618",""
"denke","ich denke, tom ist weg.","ich {{1::denke}}, tom ist weg.","i think tom left.","First 2 letters: de...","1295","0.4406281407035175",""
"unterhalten","ich habe mich mit tom unterhalten.","ich habe mich mit tom {{1::unterhalten}}.","i talked to tom.","First 3 letters: unt...","182","0.43490073145245556",""
"kenne","ich kenne tom nicht.","ich {{1::kenne}} tom nicht.","i don't know tom.","First 2 letters: ke...","829","0.45151515151515154",""
