"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"voraus","tom zahlte im voraus.","tom zahlte im {{1::voraus}}.","tom prepaid.","First 2 letters: vo...","101","0.45125",""
"versprach","tom versprach es.","tom {{1::versprach}} es.","tom promised.","First 3 letters: ver...","143","0.4680633147113594",""
"versprochen","tom hat es versprochen.","tom hat es {{1::versprochen}}.","tom promised.","First 3 letters: ver...","261","0.45208333333333334",""
"schreibt","tom schreibt.","tom {{1::schreibt}}.","tom writes.","First 2 letters: sc...","319","0.5027472527472527",""
"thomas","auf wiedersehen, thomas.","auf wiedersehen, {{1::thomas}}.","goodbye, tom.","First 2 letters: th...","208","0.4683731513083049",""
"thomas","töte thomas!","töte {{1::thomas}}!","kill tom.","First 2 letters: th...","208","0.5017064846416383",""
"thomas","tötet thomas!","tötet {{1::thomas}}!","kill tom.","First 2 letters: th...","208","0.5017064846416383",""
"versteckte","thomas versteckte sich.","thomas {{1::versteckte}} sich.","tom hid.","First 3 letters: ver...","98","0.4679073614557485",""
"versteckt","thomas hat sich versteckt.","thomas hat sich {{1::versteckt}}.","tom hid.","First 3 letters: ver...","175","0.45153374233128835",""
"schaute","thomas schaute zu.","thomas {{1::schaute}} zu.","tom watched.","First 2 letters: sc...","163","0.46814595660749503",""
"begann","thomas begann.","thomas {{1::begann}}.","tom began.","First 2 letters: be...","299","0.5024752475247525",""
"begonnen","thomas hat begonnen.","thomas hat {{1::begonnen}}.","tom began.","First 2 letters: be...","101","0.46791666666666665",""
"fing","thomas fing an.","thomas {{1::fing}} an.","tom began.","First 1 letter: f...","379","0.4107650273224044",""
"angefangen","thomas hat angefangen.","thomas hat {{1::angefangen}}.","tom began.","First 3 letters: ang...","268","0.4688125894134478",""
"liest","tom liest.","tom {{1::liest}}.","tom reads.","First 2 letters: li...","351","0.5033333333333334",""
"bescheid","tom weiß bescheid.","tom weiß {{1::bescheid}}.","tom knows.","First 2 letters: be...","326","0.4695238095238095",""
"versteht","tom versteht es.","tom {{1::versteht}} es.","tom understands.","First 2 letters: ve...","347","0.46991341991341984",""
"warum","warum, tom?","{{1::warum}}, tom?","why, tom?","First 2 letters: wa...","5821","0.4000939496429914",""
"wurde","tom wurde 13.","tom {{1::wurde}} 13.","tom turned 13.","First 2 letters: wu...","4518","0.5001244090569794",""
"geworden","tom ist 13 geworden.","tom ist 13 {{1::geworden}}.","tom turned 13.","First 2 letters: ge...","568","0.47391304347826085",""
"gewonnen","tom hat gewonnen.","tom hat {{1::gewonnen}}.","tom won.","First 2 letters: ge...","357","0.4701388888888889",""
"schlagen","schlagen sie tom!","{{1::schlagen}} sie tom!","hit tom.","First 2 letters: sc...","119","0.40130890052356016",""
"rufen","rufen sie tom an!","{{1::rufen}} sie tom an!","call tom.","First 2 letters: ru...","255","0.4020325203252032",""
"finde","finde tom.","{{1::finde}} tom.","find tom.","First 2 letters: fi...","786","0.40174216027874565",""
"findet","findet tom.","{{1::findet}} tom.","find tom.","First 2 letters: fi...","320","0.4027624309392265",""
"finden","finden sie tom.","{{1::finden}} sie tom.","find tom.","First 2 letters: fi...","997","0.40100401606425706",""
"halte","halte tom auf!","{{1::halte}} tom auf!","stop tom.","First 2 letters: ha...","400","0.404950495049505",""
"halten","halten sie tom auf!","{{1::halten}} sie tom auf!","stop tom.","First 2 letters: ha...","598","0.405050505050505",""
"haltet","haltet tom auf!","{{1::haltet}} tom auf!","stop tom.","First 2 letters: ha...","109","0.4012755102040816",""
"trinkt","tom trinkt.","tom {{1::trinkt}}.","tom drinks.","First 2 letters: tr...","377","0.5040322580645161",""
