"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"hunger","hat tom hunger?","hat tom {{1::hunger}}?","is tom hungry?","First 2 letters: hu...","367","0.4703980099502488",""
"satt","tom ist satt.","tom ist {{1::satt}}.","tom is full.","First 1 letter: s...","112","0.4079520137103685",""
"schrecklich","tom ist schrecklich.","tom ist {{1::schrecklich}}.","tom is terrible.","First 3 letters: sch...","134","0.4680290644868302",""
"dort","tom ist dort.","tom ist {{1::dort}}.","tom is there.","First 1 letter: d...","1580","0.40712920135676844",""
"frankreich","tom kommt aus frankreich.","tom kommt aus {{1::frankreich}}.","tom is french.","First 3 letters: fra...","221","0.4517857142857143",""
"anderen","tom ist vom anderen ufer.","tom ist vom {{1::anderen}} ufer.","tom is gay.","First 2 letters: an...","854","0.48140845070422533",""
"gefragt","ich habe tom gefragt.","ich habe tom {{1::gefragt}}.","i asked tom.","First 2 letters: ge...","329","0.45290697674418606",""
"traf","ich traf tom.","ich {{1::traf}} tom.","i met tom.","First 1 letter: t...","226","0.40848484848484845",""
"begegnet","ich bin tom begegnet.","ich bin tom {{1::begegnet}}.","i met tom.","First 2 letters: be...","124","0.45132625994694964",""
"schlug","ich schlug tom.","ich {{1::schlug}} tom.","i hit tom.","First 2 letters: sc...","246","0.46862745098039216",""
"klug","tom ist klug.","tom ist {{1::klug}}.","tom is smart.","First 1 letter: k...","177","0.4082098765432099",""
"fühlt","tom fühlt sich miserabel.","tom {{1::fühlt}} sich miserabel.","tom is miserable.","First 2 letters: fü...","143","0.45139664804469276",""
"leid","tom tut es leid.","tom tut es {{1::leid}}.","tom is sorry.","First 1 letter: l...","604","0.39476190476190476",""
"schwarz","tom ist schwarz.","tom ist {{1::schwarz}}.","tom is black.","First 2 letters: sc...","153","0.4681034482758621",""
"jung","ist tom jung?","ist tom {{1::jung}}?","is tom young?","First 1 letter: j...","451","0.4166666666666667",""
"groß","ist tom groß?","ist tom {{1::groß}}?","is tom big?","First 1 letter: g...","771","0.4085049019607843",""
