"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"rom","ich war in rom.","ich war in {{1::rom}}.","i was in rome.","First 1 letter: r...","143","0.33139664804469277",""
"london","ich war in london.","ich war in {{1::london}}.","i was in london.","First 2 letters: lo...","273","0.45219298245614037",""
"spaziergang","tom machte einen spaziergang, wie an jedem nachmittag.","tom machte einen {{1::spaziergang}}, wie an jedem nachmittag.","tom went out for a walk as he always does in the afternoon.","First 3 letters: spa...","109","0.47627551020408165",""
"den","er zog den hut.","er zog {{1::den}} hut.","he raised his hat.","First 1 letter: d...","14041","0.3800369221680697",""
"ihr","ist das ihr hut?","ist das {{1::ihr}} hut?","is this hat yours?","First 1 letter: i...","19978","0.3800256686688228",""
"ihres","tom und maria wollten den rest ihres lebens zusammen verbringen.","tom und maria wollten den rest {{1::ihres}} lebens zusammen verbringen.","tom and mary wanted to spend the rest of their lives together.","First 2 letters: ih...","200","0.48166112956810636",""
"gewaschen","nicht tom hat dir das auto gewaschen, sondern maria.","nicht tom hat dir das auto {{1::gewaschen}}, sondern maria.","tom wasn't the one who washed your car for you. it was mary.","First 3 letters: gew...","122","0.467985927880387",""
"gewaschen","nicht tom hat euch das auto gewaschen, sondern maria.","nicht tom hat euch das auto {{1::gewaschen}}, sondern maria.","tom wasn't the one who washed your car for you. it was mary.","First 3 letters: gew...","122","0.467985927880387",""
"gesetz","als teenager geriet tom oft mit dem gesetz in konflikt.","als teenager geriet tom oft mit dem {{1::gesetz}} in konflikt.","tom had lots of run-ins with the law when he was a teenager.","First 2 letters: ge...","155","0.46144508670520235",""
"schöner","es war ein schöner tag zum sterben.","es war ein {{1::schöner}} tag zum sterben.","it was a nice day to die.","First 2 letters: sc...","173","0.48723867595818815",""
"tokio","ich wurde 1968 in tokio geboren.","ich wurde 1968 in {{1::tokio}} geboren.","i was born in tokyo in 1968.","First 2 letters: to...","146","0.48140845070422533",""
"spaß","nichts macht mir mehr spaß, als mit tom zu sprechen.","nichts macht mir mehr {{1::spaß}}, als mit tom zu sprechen.","there's nothing more fun for me to do than to talk with tom.","First 1 letter: s...","660","0.4231055900621118",""
"london","ich bin in london.","ich bin in {{1::london}}.","i am in london.","First 2 letters: lo...","273","0.45219298245614037",""
"wohne","ich wohne in boston.","ich {{1::wohne}} in boston.","i live in boston.","First 2 letters: wo...","236","0.4518867924528302",""
"schneit","in boston schneit es.","in boston {{1::schneit}} es.","it's snowing in boston.","First 2 letters: sc...","105","0.5012626262626263",""
"der","da drin war der bär los.","da drin war {{1::der}} bär los.","it was chocka in there.","First 1 letter: d...","27472","0.3800185370555741",""
"amerika","sie wurde in amerika geboren.","sie wurde in {{1::amerika}} geboren.","she was born in america.","First 2 letters: am...","222","0.48179211469534056",""
"wind","es wehte ein wind des wandels.","es wehte ein {{1::wind}} des wandels.","change was in the air.","First 1 letter: w...","206","0.4416949152542373",""
"brasilien","ich wurde in brasilien geboren.","ich wurde in {{1::brasilien}} geboren.","i was born in brazil.","First 3 letters: bra...","120","0.48131233595800527",""
"raum","wer war im raum?","wer war im {{1::raum}}?","who was in the room?","First 1 letter: r...","297","0.39245098039215687",""
"gegend","ich war in der gegend.","ich war in der {{1::gegend}}.","i was in the area.","First 2 letters: ge...","142","0.44139275766016706",""
"tokio","gestern war ich in tokio.","gestern war ich in {{1::tokio}}.","i was in tokyo yesterday.","First 2 letters: to...","146","0.4414084507042253",""
"england","sie wurde in england geboren.","sie wurde in {{1::england}} geboren.","she was born in england.","First 2 letters: en...","169","0.48150602409638554",""
"china","es ist in china hergestellt worden.","es ist in {{1::china}} hergestellt worden.","it was made in china.","First 2 letters: ch...","179","0.5015527950310559",""
"layla","layla war im haus.","{{1::layla}} war im haus.","layla was in the house.","First 2 letters: la...","269","0.40215517241379306",""
"stell","stell dich in die ecke!","{{1::stell}} dich in die ecke!","stand in the corner!","First 2 letters: st...","140","0.40138504155124655",""
"beginnt","im dezember beginnt der winter.","im dezember {{1::beginnt}} der winter.","winter begins in december.","First 2 letters: be...","166","0.4814925373134329",""
"regnet","in paris regnet es.","in paris {{1::regnet}} es.","it's raining in paris.","First 2 letters: re...","342","0.5031446540880503",""
"algerien","ziri lebt in algerien.","ziri lebt in {{1::algerien}}.","ziri lives in algeria.","First 2 letters: al...","147","0.4514124293785311",""
"taxi","ich bin im taxi.","ich bin im {{1::taxi}}.","i'm in the taxi.","First 1 letter: t...","240","0.39191570881226057",""
"brasilien","das ist in brasilien normal.","das ist in {{1::brasilien}} normal.","it's normal in brazil.","First 3 letters: bra...","120","0.48131233595800527",""
"fängt","die schule fängt im april an.","die schule {{1::fängt}} im april an.","school starts in april.","First 2 letters: fä...","139","0.4680478821362799",""
"beginnt","der unterricht beginnt im april.","der unterricht {{1::beginnt}} im april.","classes begin in april.","First 2 letters: be...","166","0.4814925373134329",""
"schneit","im april schneit es.","im april {{1::schneit}} es.","it's snowing in april.","First 2 letters: sc...","105","0.5012626262626263",""
"lebe","ich lebe in kobe.","ich {{1::lebe}} in kobe.","i live in kobe.","First 1 letter: l...","244","0.3919455252918288",""
"beginnt","der herbst beginnt im september.","der herbst {{1::beginnt}} im september.","autumn starts in september.","First 2 letters: be...","166","0.4814925373134329",""
"lebe","ich lebe in rio.","ich {{1::lebe}} in rio.","i live in rio.","First 1 letter: l...","244","0.3919455252918288",""
"spanien","ich lebe in spanien.","ich lebe in {{1::spanien}}.","i live in spain.","First 2 letters: sp...","101","0.45125",""
"träume","ich träume auf französisch.","ich {{1::träume}} auf französisch.","i dream in french.","First 2 letters: tr...","162","0.45147492625368735",""
