"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"allen","tom wird es allen erzählen.","tom wird es {{1::allen}} erzählen.","tom will tell everybody.","First 2 letters: al...","505","0.5633333333333334",""
"mann","tom ist ein mann.","tom ist ein {{1::mann}}.","tom is a man.","First 1 letter: m...","1759","0.3903968253968254",""
"dieser","dieser mann ist tom.","{{1::dieser}} mann ist tom.","that man is tom.","First 2 letters: di...","3062","0.40019508388607106",""
"drüben","ist dieser mann dort drüben tom?","ist dieser mann dort {{1::drüben}} tom?","is that man tom?","First 2 letters: dr...","215","0.46841491841491845",""
"bin","ja. ich bin tom.","ja. ich {{1::bin}} tom.","yes. i am tom.","First 1 letter: b...","8876","0.3800596872388683",""
"dabei","tom ist dabei, mary nachzuahmen.","tom ist {{1::dabei}}, mary nachzuahmen.","tom is miming mary.","First 2 letters: da...","674","0.4828571428571429",""
"mary","tom, das ist mary.","tom, das ist {{1::mary}}.","tom, this is mary.","First 1 letter: m...","2640","0.39023353573096686",""
"haben","tom und maria haben gelacht.","tom und maria {{1::haben}} gelacht.","tom and mary laughed.","First 2 letters: ha...","13051","0.48003983428935626",""
"waren","tom und maria waren damit einverstanden.","tom und maria {{1::waren}} damit einverstanden.","tom and mary agreed.","First 2 letters: wa...","2367","0.5002676659528908",""
"gebracht","tom hat maria dazu gebracht, dass sie geht.","tom hat maria dazu {{1::gebracht}}, dass sie geht.","tom made mary go.","First 2 letters: ge...","271","0.5021739130434782",""
"stellte","tom stellte mary fragen.","tom {{1::stellte}} mary fragen.","tom asked mary questions.","First 2 letters: st...","349","0.4532894736842105",""
"getroffen","tom hat hier mary getroffen.","tom hat hier mary {{1::getroffen}}.","tom met mary here.","First 3 letters: get...","591","0.4454347826086956",""
"zeigte","tom zeigte auf maria.","tom {{1::zeigte}} auf maria.","tom pointed at mary.","First 2 letters: ze...","219","0.45177304964539006",""
"gegen","tom hat gegen mary ausgesagt.","tom hat {{1::gegen}} mary ausgesagt.","tom testified against mary.","First 2 letters: ge...","762","0.4819011406844107",""
"beschützen","tom hätte maria beschützen sollen.","tom hätte maria {{1::beschützen}} sollen.","tom should've protected mary.","First 3 letters: bes...","106","0.4812658227848101",""
"schwimmen","tom sah maria beim schwimmen zu.","tom sah maria beim {{1::schwimmen}} zu.","tom watched mary swim.","First 3 letters: sch...","794","0.46836158192090394",""
"kocht","tom kocht für mary.","tom {{1::kocht}} für mary.","tom cooks for mary.","First 2 letters: ko...","124","0.45132625994694964",""
"essen","tom sah maria beim essen zu.","tom sah maria beim {{1::essen}} zu.","tom watched mary eat.","First 2 letters: es...","2262","0.46695027415390433",""
"seine","tom hat maria seine stimme gegeben.","tom hat maria {{1::seine}} stimme gegeben.","tom voted for mary.","First 2 letters: se...","4169","0.5001362397820164",""
"marias","tom stellte sich auf marias seite.","tom stellte sich auf {{1::marias}} seite.","tom sided with mary.","First 2 letters: ma...","690","0.46928446771378707",""
"arbeit","tom sah maria bei der arbeit zu.","tom sah maria bei der {{1::arbeit}} zu.","tom watched mary work.","First 2 letters: ar...","1977","0.45748115213609125",""
"neben","tom setzte sich neben mary.","tom setzte sich {{1::neben}} mary.","tom sat beside mary.","First 2 letters: ne...","343","0.4831645569620253",""
"marias","tom wohnt in marias nähe.","tom wohnt in {{1::marias}} nähe.","tom lives near mary.","First 2 letters: ma...","690","0.4826178010471204",""
"marie","tom liebte marie nicht.","tom liebte {{1::marie}} nicht.","tom didn't love mary.","First 2 letters: ma...","143","0.5013966480446927",""
"gesprochen","tom hat mit mary gesprochen.","tom hat mit mary {{1::gesprochen}}.","tom talked to mary.","First 3 letters: ges...","595","0.4452083333333333",""
"gegenüber","tom saß gegenüber von mary.","tom saß {{1::gegenüber}} von mary.","tom sat facing mary.","First 3 letters: geg...","302","0.4825125628140704",""
"gleich","tom hat maria gleich erkannt.","tom hat maria {{1::gleich}} erkannt.","tom recognized mary instantly.","First 2 letters: gl...","718","0.4822831050228311",""
"gefällt","wie gefällt es tom in boston?","wie {{1::gefällt}} es tom in boston?","how's tom liking boston?","First 2 letters: ge...","989","0.43435374149659867",""
"erzählte","tom erzählte von boston.","tom {{1::erzählte}} von boston.","tom talked about boston.","First 2 letters: er...","176","0.45153846153846156",""
"jedes","tom hat jedes problem gelöst.","tom hat {{1::jedes}} problem gelöst.","tom solved every problem.","First 2 letters: je...","290","0.48236966824644556",""
"bekommt","tom bekommt eine glatze.","tom {{1::bekommt}} eine glatze.","tom is going bald.","First 2 letters: be...","165","0.45148809523809524",""
"dem","tom kam mit dem bus.","tom kam mit {{1::dem}} bus.","tom came by bus.","First 1 letter: d...","8284","0.3600642260757868",""
"marias","tom küsste marias hand.","tom küsste {{1::marias}} hand.","tom kissed mary's hand.","First 2 letters: ma...","690","0.5026178010471204",""
"meine","tom ergriff meine hand.","tom ergriff {{1::meine}} hand.","tom grabbed my hand.","First 2 letters: me...","6143","0.5000885896527285",""
"meine","tom berührte meine hand.","tom berührte {{1::meine}} hand.","tom touched my hand.","First 2 letters: me...","6143","0.5000885896527285",""
"hand","tom hob die hand.","tom hob die {{1::hand}}.","tom raised his hand.","First 1 letter: h...","562","0.3979365079365079",""
"sie","gib sie tom.","gib {{1::sie}} tom.","hand it to tom.","First 1 letter: s...","57219","0.3466754818993888",""
"ihn","gib ihn tom.","gib {{1::ihn}} tom.","hand it to tom.","First 1 letter: i...","5045","0.3467766534682505",""
"gegen","tom stellte sich gegen den plan.","tom stellte sich {{1::gegen}} den plan.","tom opposed the plan.","First 2 letters: ge...","762","0.5019011406844107",""
"plan","was ist der plan, tom?","was ist der {{1::plan}}, tom?","what's the plan, tom?","First 1 letter: p...","526","0.43851851851851853",""
"plan","tom gab den plan auf.","tom gab den {{1::plan}} auf.","tom abandoned the plan.","First 1 letter: p...","526","0.43851851851851853",""
"gefiel","tom gefiel der plan.","tom {{1::gefiel}} der plan.","tom liked the plan.","First 2 letters: ge...","124","0.45132625994694964",""
"gefiel","tom gefiel das vorhaben.","tom {{1::gefiel}} das vorhaben.","tom liked this plan.","First 2 letters: ge...","124","0.45132625994694964",""
"bruder","tom ist ihr bruder.","tom ist ihr {{1::bruder}}.","tom is her brother.","First 2 letters: br...","1014","0.45097087378640777",""
"entschuldigung","tom bat sie um entschuldigung.","tom bat sie um {{1::entschuldigung}}.","tom apologized to her.","First 3 letters: ent...","198","0.4416501650165017",""
"gesicht","tom musterte ihr gesicht.","tom musterte ihr {{1::gesicht}}.","tom studied her face.","First 2 letters: ge...","385","0.4543103448275862",""
"heiratete","tom heiratete sie trotzdem.","tom {{1::heiratete}} sie trotzdem.","tom married her anyway.","First 3 letters: hei...","101","0.45125",""
"schulter","tom berührte sie an der schulter.","tom berührte sie an der {{1::schulter}}.","tom touched her shoulder.","First 2 letters: sc...","132","0.4346883468834688",""
"marys","tom verband marys arm.","tom verband {{1::marys}} arm.","tom bandaged mary's arm.","First 2 letters: ma...","178","0.5015479876160991",""
"gebrochen","tom hat sich den arm gebrochen.","tom hat sich den arm {{1::gebrochen}}.","tom broke his arm.","First 3 letters: geb...","161","0.43480392156862746",""
"brach","tom brach sich den arm.","tom {{1::brach}} sich den arm.","tom broke his arm.","First 2 letters: br...","217","0.4417605633802817",""
"heiße","ich heiße tom.","ich {{1::heiße}} tom.","my name is tom.","First 2 letters: he...","174","0.4681957186544342",""
"name","mein name ist tom.","mein {{1::name}} ist tom.","my name is tom.","First 1 letter: n...","372","0.3938759689922481",""
"mein","tom ist mein name.","tom ist {{1::mein}} name.","tom is my name.","First 1 letter: m...","5468","0.4401006238679815",""
"dein","ist tom dein name?","ist tom {{1::dein}} name?","is tom your name?","First 1 letter: d...","2228","0.44028918449971083",""
"name","ist dein name tom?","ist dein {{1::name}} tom?","is your name tom?","First 1 letter: n...","372","0.44387596899224807",""
"namen","tom hat deinen namen erwähnt.","tom hat deinen {{1::namen}} erwähnt.","tom mentioned your name.","First 2 letters: na...","693","0.48257731958762884",""
"computer","tom hat einen computer gekauft.","tom hat einen {{1::computer}} gekauft.","tom bought a computer.","First 2 letters: co...","333","0.48297619047619045",""
"party","tom hat die party verschoben.","tom hat die {{1::party}} verschoben.","tom postponed the party.","First 2 letters: pa...","345","0.4832051282051282",""
"angelogen","tom hat dich angelogen.","tom hat dich {{1::angelogen}}.","tom lied to you.","First 3 letters: ang...","135","0.45136612021857925",""
"angelogen","tom hat uns angelogen.","tom hat uns {{1::angelogen}}.","tom lied to us.","First 3 letters: ang...","135","0.45136612021857925",""
"angelogen","du hast tom angelogen.","du hast tom {{1::angelogen}}.","you lied to tom.","First 3 letters: ang...","135","0.45136612021857925",""
"tennis","spielt tom tennis?","spielt tom {{1::tennis}}?","does tom play tennis?","First 2 letters: te...","337","0.46971544715447155",""
"freude","tennisspielen macht tom freude.","tennisspielen macht tom {{1::freude}}.","tom enjoys playing tennis.","First 2 letters: fr...","225","0.45181159420289857",""
"computer","tom hat mary's computer gestohlen.","tom hat mary's {{1::computer}} gestohlen.","tom stole mary's computer.","First 2 letters: co...","333","0.48297619047619045",""
"rechner","tom fuhr seinen rechner neu hoch.","tom fuhr seinen {{1::rechner}} neu hoch.","tom restarted his computer.","First 2 letters: re...","172","0.5015197568389058",""
"johannes","tom sieht aus wie johannes.","tom sieht aus wie {{1::johannes}}.","tom looks like john.","First 2 letters: jo...","1084","0.4408547008547008",""
"winter","tom ist letzten winter gestorben.","tom ist letzten {{1::winter}} gestorben.","tom died last winter.","First 2 letters: wi...","312","0.48264550264550266",""
"moment","tom genoss den moment.","tom genoss den {{1::moment}}.","tom savoured the moment.","First 2 letters: mo...","304","0.45253807106598987",""
"baby","tom ist ein baby.","tom ist ein {{1::baby}}.","tom is a baby.","First 1 letter: b...","262","0.392092050209205",""
"kein","tom ist kein baby.","tom ist {{1::kein}} baby.","tom isn't a baby.","First 1 letter: k...","3256","0.4401813565469713",""
