"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"ball","tom trat den ball.","tom trat den {{1::ball}}.","tom kicked the ball.","First 1 letter: b...","204","0.3916835016835017",""
"ball","wirf den ball zu tom!","wirf den {{1::ball}} zu tom!","throw tom the ball.","First 1 letter: b...","204","0.42168350168350166",""
"student","tom ist student.","tom ist {{1::student}}.","tom is a student.","First 2 letters: st...","165","0.4681547619047619",""
"bekommen","tom hat den job bekommen.","tom hat den job {{1::bekommen}}.","tom got the job.","First 2 letters: be...","1046","0.44091407678244965",""
"nahm","tom nahm den job an.","tom {{1::nahm}} den job an.","tom accepted the job.","First 1 letter: n...","717","0.3822935779816513",""
"student","tom ist kein student.","tom ist kein {{1::student}}.","tom isn't a student.","First 2 letters: st...","165","0.45148809523809524",""
"seine","tom verlor seine arbeit.","tom verlor {{1::seine}} arbeit.","tom lost his job.","First 2 letters: se...","4169","0.5001362397820164",""
"seine","tom hasst seine arbeit.","tom hasst {{1::seine}} arbeit.","tom hates his job.","First 2 letters: se...","4169","0.5001362397820164",""
"finger","tom hat einen finger verloren.","tom hat einen {{1::finger}} verloren.","tom lost a finger.","First 2 letters: fi...","160","0.48146627565982403",""
"mitgebracht","was hat tom mitgebracht?","was hat tom {{1::mitgebracht}}?","what did tom bring?","First 3 letters: mit...","195","0.4516339869281046",""
"schüler","tom ist mein schüler.","tom ist mein {{1::schüler}}.","tom is my student.","First 2 letters: sc...","500","0.9500000000000001",""
"student","dieser student ist tom.","dieser {{1::student}} ist tom.","that student is tom.","First 2 letters: st...","165","0.45148809523809524",""
"schüler","tom ist nicht mein schüler.","tom ist nicht mein {{1::schüler}}.","tom isn't my student.","First 2 letters: sc...","500","0.9400000000000001",""
"eines","tom ist besitzer eines theaters.","tom ist besitzer {{1::eines}} theaters.","tom owns a theater.","First 2 letters: ei...","861","0.4813812154696133",""
"loch","tom grub ein loch.","tom grub ein {{1::loch}}.","tom dug a hole.","First 1 letter: l...","114","0.39129198966408274",""
"pause","tom braucht eine pause.","tom braucht eine {{1::pause}}.","tom needs a rest.","First 2 letters: pa...","171","0.45151515151515154",""
"schuhe","tom braucht neue schuhe.","tom braucht neue {{1::schuhe}}.","tom needs new shoes.","First 2 letters: sc...","554","0.4590909090909091",""
"sachen","tom braucht neue sachen.","tom braucht neue {{1::sachen}}.","tom needs new clothes.","First 2 letters: sa...","330","0.4529239766081872",""
"lied","tom sang ein lied.","tom sang ein {{1::lied}}.","tom sang a song.","First 1 letter: l...","346","0.3932258064516129",""
