"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"verrückt","tom war verrückt.","tom war {{1::verrückt}}.","tom was insane.","First 2 letters: ve...","323","0.4694756554307116",""
"verletzt","tom war verletzt.","tom war {{1::verletzt}}.","tom was injured.","First 2 letters: ve...","358","0.47016317016317016",""
"verheiratet","tom war verheiratet.","tom war {{1::verheiratet}}.","tom was married.","First 3 letters: ver...","405","0.471875",""
"unglücklich","tom war unglücklich.","tom war {{1::unglücklich}}.","tom was unhappy.","First 3 letters: ung...","113","0.4679553264604811",""
"still","tom war still.","tom war {{1::still}}.","tom was silent.","First 2 letters: st...","257","0.4687158469945355",""
"stark","tom war stark.","tom war {{1::stark}}.","tom was strong.","First 2 letters: st...","303","0.4691919191919192",""
"schuldig","tom war schuldig.","tom war {{1::schuldig}}.","tom was guilty.","First 2 letters: sc...","171","0.4681818181818182",""
"reich","tom war reich.","tom war {{1::reich}}.","tom was wealthy.","First 2 letters: re...","476","0.4866666666666667",""
"perfekt","tom war perfekt.","tom war {{1::perfekt}}.","tom was perfect.","First 2 letters: pe...","159","0.4681286549707602",""
"nervös","tom war nervös.","tom war {{1::nervös}}.","tom was nervous.","First 2 letters: ne...","259","0.468732782369146",""
"langweilig","tom war langweilig.","tom war {{1::langweilig}}.","tom was boring.","First 3 letters: lan...","229","0.4685049019607843",""
"ausland","tom war im ausland.","tom war im {{1::ausland}}.","tom was abroad.","First 2 letters: au...","282","0.4522831050228311",""
"höflich","tom war höflich.","tom war {{1::höflich}}.","tom was polite.","First 2 letters: hö...","113","0.4679553264604811",""
"gesund","tom war gesund.","tom war {{1::gesund}}.","tom was healthy.","First 2 letters: ge...","168","0.4681681681681682",""
"gefangen","tom war gefangen.","tom war {{1::gefangen}}.","tom was trapped.","First 2 letters: ge...","140","0.4680517082179132",""
"etwas","tom war etwas besonderes.","tom war {{1::etwas}} besonderes.","tom was special.","First 2 letters: et...","6008","0.5000907605736069",""
"einsam","tom war einsam.","tom war {{1::einsam}}.","tom was lonely.","First 2 letters: ei...","179","0.46821946169772255",""
"eingeladen","tom war eingeladen.","tom war {{1::eingeladen}}.","tom was invited.","First 3 letters: ein...","311","0.4692982456140351",""
"ehrlich","tom war ehrlich.","tom war {{1::ehrlich}}.","tom was honest.","First 2 letters: eh...","234","0.46853932584269664",""
"dumm","tom war dumm.","tom war {{1::dumm}}.","tom was foolish.","First 1 letter: d...","280","0.4089291101055807",""
"drinnen","tom war drinnen.","tom war {{1::drinnen}}.","tom was inside.","First 2 letters: dr...","128","0.4680071492403932",""
"besser","tom war besser.","tom war {{1::besser}}.","tom was better.","First 2 letters: be...","1948","0.46701173222912357",""
"besorgt","tom war besorgt.","tom war {{1::besorgt}}.","tom was worried.","First 2 letters: be...","212","0.4683967704728951",""
"berühmt","tom war berühmt.","tom war {{1::berühmt}}.","tom was famous.","First 2 letters: be...","152","0.46809933142311366",""
