"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"frau","da ist eine frau im zimmer.","da ist eine {{1::frau}} im zimmer.","there's a woman in the room.","First 1 letter: f...","1589","0.44045871559633026",""
"dauern","die polizeilichen ermittlungen dauern an.","die polizeilichen ermittlungen {{1::dauern}} an.","a police investigation is in progress.","First 2 letters: da...","168","0.4815015015015015",""
"seit","ich bin seit 1980 in kobe.","ich bin {{1::seit}} 1980 in kobe.","i have been in kobe since 1980.","First 1 letter: s...","1326","0.4206045949214027",""
"satz","ich schreibe einen satz auf deutsch.","ich schreibe einen {{1::satz}} auf deutsch.","i'm writing a sentence in german.","First 1 letter: s...","517","0.4677777777777778",""
"schlange","sie warteten in der schlange.","sie warteten in der {{1::schlange}}.","they were standing in a queue.","First 2 letters: sc...","108","0.4412722646310432",""
"gegend","in dieser gegend gibt es häufig taifune.","in dieser {{1::gegend}} gibt es häufig taifune.","typhoons are frequent in this region.","First 2 letters: ge...","142","0.45853561480302424",""
"englische","im allgemeinen sind englische taxis schwarz.","im allgemeinen sind {{1::englische}} taxis schwarz.","in general, english taxis are black.","First 3 letters: eng...","119","0.5013089005235603",""
"bauen","viele bauern in hokkaido bauen kartoffeln an.","viele bauern in hokkaido {{1::bauen}} kartoffeln an.","many farmers in hokkaido grow potatoes.","First 2 letters: ba...","117","0.487016369047619",""
"dorf","das haus ist im dorf.","das haus ist im {{1::dorf}}.","the house is in the village.","First 1 letter: d...","242","0.38193050193050193",""
"obst","das obst ist im korb.","das {{1::obst}} ist im korb.","the fruit is in the basket.","First 1 letter: o...","160","0.38146627565982405",""
"japaner","im allgemeinen sind die japaner höflich.","im allgemeinen sind die {{1::japaner}} höflich.","japanese people in general are polite.","First 2 letters: ja...","103","0.4679229480737018",""
"liegen","die taschentücher liegen in der schublade.","die taschentücher {{1::liegen}} in der schublade.","the handkerchiefs are in the drawer.","First 2 letters: li...","169","0.46817269076305223",""
"liegen","die handschuhe liegen in der tasche.","die handschuhe {{1::liegen}} in der tasche.","the gloves are in the bag.","First 2 letters: li...","169","0.46817269076305223",""
"bekomme","was bekomme ich als gegenleistung?","was {{1::bekomme}} ich als gegenleistung?","what do i get in return?","First 2 letters: be...","130","0.44134770889487873",""
"auge","ich habe was im auge.","ich habe was im {{1::auge}}.","i got something in my eye.","First 1 letter: a...","186","0.3815873015873016",""
"großmutter","meine großmutter lebt auf dem land.","meine {{1::großmutter}} lebt auf dem land.","my grandmother lives in the country.","First 3 letters: gro...","187","0.4349256900212314",""
"verbrachte","mehrere wochen verbrachte ich im krankenhaus.","mehrere wochen {{1::verbrachte}} ich im krankenhaus.","i spent several weeks in hospital.","First 3 letters: ver...","99","0.46791044776119406",""
"beginnen","die sommerferien beginnen im juli.","die sommerferien {{1::beginnen}} im juli.","the summer vacation begins in july.","First 2 letters: be...","123","0.4813227513227514",""
"sturm","wir gerieten in den sturm.","wir gerieten in den {{1::sturm}}.","we got caught in the storm.","First 2 letters: st...","123","0.44132275132275134",""
"wörter","sortiere die wörter in alphabetischer reihenfolge.","sortiere die {{1::wörter}} in alphabetischer reihenfolge.","put the words in alphabetical order.","First 2 letters: wö...","139","0.4680478821362799",""
"eier","sie trat ihm in die eier.","sie trat ihm in die {{1::eier}}.","she kicked him in the nuts.","First 1 letter: e...","284","0.37563748079877113",""
"besteht","diese geschichte besteht aus zwei teilen.","diese geschichte {{1::besteht}} aus zwei teilen.","this story is in two parts.","First 2 letters: be...","326","0.46952380952380945",""
"aber","das ist wahr, aber nur zum teil.","das ist wahr, {{1::aber}} nur zum teil.","that's true, but only in part.","First 1 letter: a...","2272","0.42599629361050684",""
"sinn","was hast du im sinn?","was hast du im {{1::sinn}}?","what do you have in mind?","First 1 letter: s...","299","0.3824752475247525",""
"arbeitest","in welcher abteilung arbeitest du?","in welcher abteilung {{1::arbeitest}} du?","in which department do you work?","First 3 letters: arb...","119","0.48130890052356023",""
"zog","es zog.","es {{1::zog}}.","a breeze of cold air was pouring in.","First 1 letter: z...","397","0.3848076923076923",""
"zerstört","das schloss wurde 1485 zerstört und nie wieder aufgebaut.","das schloss wurde 1485 {{1::zerstört}} und nie wieder aufgebaut.","the castle was destroyed in 1485, and never rebuilt.","First 2 letters: ze...","100","0.4762468827930174",""
"aussehen","maria ähnelt ihrer mutter im aussehen, doch nicht charakterlich.","maria ähnelt ihrer mutter im {{1::aussehen}}, doch nicht charakterlich.","mary resembles her mother in appearance, but not in character.","First 2 letters: au...","113","0.4901775486827033",""
"teufel","maria war ein teufel in frauengestalt.","maria war ein {{1::teufel}} in frauengestalt.","maria was a devil in the shape of a woman.","First 2 letters: te...","121","0.5013157894736842",""
"sterne","im sommer sind viele sterne am nachthimmel zu sehen.","im sommer sind viele {{1::sterne}} am nachthimmel zu sehen.","in summer, many stars are visible in the night sky.","First 2 letters: st...","134","0.4902512867090524",""
"ihres","sein auto war blau, ihres war rot.","sein auto war blau, {{1::ihres}} war rot.","his car was blue; hers was red.","First 2 letters: ih...","200","0.48737541528239203",""
"tier","er ist ein tier.","er ist ein {{1::tier}}.","he's an animal.","First 1 letter: t...","123","0.39132275132275135",""
"tier","du bist ein tier.","du bist ein {{1::tier}}.","you're an animal.","First 1 letter: t...","123","0.39132275132275135",""
"staaten","er wurde in den vereinigten staaten von amerika geboren.","er wurde in den vereinigten {{1::staaten}} von amerika geboren.","he was born in the united states of america.","First 2 letters: st...","178","0.49043687650498796",""
"dauert","der krieg dauert an.","der krieg {{1::dauert}} an.","the war goes on.","First 2 letters: da...","138","0.5013774104683195",""
"amerikaner","wir dachten, er sei amerikaner.","wir dachten, er sei {{1::amerikaner}}.","we thought he was an american.","First 3 letters: ame...","150","0.4414245014245014",""
"knopf","der personenschützer hatte einen knopf im ohr.","der personenschützer hatte einen {{1::knopf}} im ohr.","the bodyguard was wearing an earpiece.","First 2 letters: kn...","100","0.48696116850730314",""
"gibt","in diesem park gibt es tennisplätze.","in diesem park {{1::gibt}} es tennisplätze.","there are tennis courts in this park.","First 1 letter: g...","2932","0.44020550760378135",""
"fall","warum sagt man in den usa ""fall"" für den herbst?","warum sagt man in den usa ""{{1::fall}}"" für den herbst?","why is autumn called ""fall"" in america?","First 1 letter: f...","360","0.42354609929078013",""
"personen","wie viele personen sind sie?","wie viele {{1::personen}} sind sie?","how many people are in your party?","First 2 letters: pe...","107","0.48126903553299494",""
"neun","im winter gehe ich um neun aus dem haus.","im winter gehe ich um {{1::neun}} aus dem haus.","in winter i leave home at nine.","First 1 letter: n...","185","0.43047116736990154",""
"wörter","in toki pona sind alle wörter unveränderlich.","in toki pona sind alle {{1::wörter}} unveränderlich.","in toki pona, all words are invariable.","First 2 letters: wö...","139","0.4585240726124704",""
"fünf","es ist halb fünf uhr morgens.","es ist halb {{1::fünf}} uhr morgens.","it's half past four in the morning.","First 1 letter: f...","644","0.443448275862069",""
"esperanto","ich denke auch oft in esperanto.","ich denke auch oft in {{1::esperanto}}.","i often think in esperanto as well.","First 3 letters: esp...","198","0.43498349834983496",""
"esperanto","nach meiner meinung ist esperanto sehr schwierig.","nach meiner meinung ist {{1::esperanto}} sehr schwierig.","in my opinion, esperanto is very difficult.","First 3 letters: esp...","198","0.4873644507307874",""
"trotz","er kam trotz des schlechten wetters.","er kam {{1::trotz}} des schlechten wetters.","he came in spite of bad weather.","First 2 letters: tr...","121","0.46798245614035083",""
"gold","zufriedenheit ist gold.","zufriedenheit ist {{1::gold}}.","satisfaction is worth its weight in gold.","First 1 letter: g...","130","0.4080143755615454",""
"kopf","stecke nicht den kopf in den sand!","stecke nicht den {{1::kopf}} in den sand!","don't bury your head in the sand.","First 1 letter: k...","430","0.43275653923541246",""
"nase","er schnäuzte sich die nase in ein taschentuch.","er schnäuzte sich die {{1::nase}} in ein taschentuch.","he blew his nose in a handkerchief.","First 1 letter: n...","203","0.44167785234899326",""
"lösen","takeo ist ins lösen mathematischer probleme vertieft.","takeo ist ins {{1::lösen}} mathematischer probleme vertieft.","takeo is engrossed in solving mathematical problems.","First 2 letters: lö...","263","0.48781512605042016",""
"verboten","in der bibliothek ist es verboten zu reden.","in der bibliothek ist es {{1::verboten}} zu reden.","talking in the library is not allowed.","First 2 letters: ve...","121","0.47631578947368425",""
"ärztin","ist eine ärztin unter uns?","ist eine {{1::ärztin}} unter uns?","is there a doctor in the house?","First 2 letters: är...","222","0.48179211469534056",""
"herrn","wir erwähnten den herrn in dem gespräch.","wir erwähnten den {{1::herrn}} in dem gespräch.","we mentioned that gentleman in the conversation.","First 2 letters: he...","183","0.48728661275831087",""
"herrn","sizilien fiel im jahre des herrn 1091 an die normannen.","sizilien fiel im jahre des {{1::herrn}} 1091 an die normannen.","sicily fell to the normans in 1091 ad.","First 2 letters: he...","183","0.49046121593291403",""
"welt","nichts auf der welt ist gewiss.","nichts auf der {{1::welt}} ist gewiss.","there is nothing certain in the world.","First 1 letter: w...","1007","0.44098425196850394",""
"zehn","die straße ist zehn fuß breit.","die straße ist {{1::zehn}} fuß breit.","the road is ten feet in width.","First 1 letter: z...","715","0.4423148148148148",""
"schließt","in zehn minuten schließt die theke.","in zehn minuten {{1::schließt}} die theke.","it'll be last orders in ten minutes.","First 2 letters: sc...","111","0.5012820512820513",""
