"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"teil","ihr seid ein teil des problems.","ihr seid ein {{1::teil}} des problems.","you're part of the problem.","First 1 letter: t...","312","0.4426455026455026",""
"teil","sie sind ein teil des problems.","sie sind ein {{1::teil}} des problems.","you're part of the problem.","First 1 letter: t...","312","0.4426455026455026",""
"teil","du bist ein teil des problems.","du bist ein {{1::teil}} des problems.","you're part of the problem.","First 1 letter: t...","312","0.4426455026455026",""
"gelöst","das problem ist gelöst.","das problem ist {{1::gelöst}}.","the problem has been solved.","First 2 letters: ge...","111","0.4512820512820513",""
"gelöst","jedes problem kann gelöst werden.","jedes problem kann {{1::gelöst}} werden.","every problem can be solved.","First 2 letters: ge...","111","0.48128205128205126",""
"den","er sah den bus.","er sah {{1::den}} bus.","he saw the bus.","First 1 letter: d...","14041","0.3800369221680697",""
"den","sie sah den bus.","sie sah {{1::den}} bus.","she saw the bus.","First 1 letter: d...","14041","0.3800369221680697",""
"sami","sami ist zu alt.","{{1::sami}} ist zu alt.","sami is too old.","First 1 letter: s...","734","0.3421276595744681",""
"ihre","heben sie ihre hand.","heben sie {{1::ihre}} hand.","raise your hand.","First 1 letter: i...","3812","0.4401509206157561",""
"erledigt","das problem ist so gut wie erledigt.","das problem ist so gut wie {{1::erledigt}}.","the problem is as good as settled.","First 2 letters: er...","100","0.42981831136444604",""
"neue","sami hat eine neue idee.","sami hat eine {{1::neue}} idee.","sami has a new idea.","First 1 letter: n...","889","0.4212820512820513",""
"papa","er ist ihr papa.","er ist ihr {{1::papa}}.","he's her dad.","First 1 letter: p...","156","0.3914492753623189",""
"ecke","der bus bog um die ecke.","der bus bog um die {{1::ecke}}.","the bus turned around the corner.","First 1 letter: e...","109","0.37460884353741497",""
"mal","hilf mir mal!","hilf mir {{1::mal}}!","give me a hand.","First 1 letter: m...","2961","0.346869753587869",""
"trinkst","was für bier trinkst du gern?","was für bier {{1::trinkst}} du gern?","what kind of beer do you like?","First 2 letters: tr...","121","0.5013157894736842",""
"trägst","was für sachen trägst du gern?","was für sachen {{1::trägst}} du gern?","what kind of clothes do you like?","First 2 letters: tr...","106","0.5012658227848101",""
