"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"gedanken","tom war in gedanken versunken.","tom war in {{1::gedanken}} versunken.","tom was absorbed in thought.","First 2 letters: ge...","205","0.48168918918918924",""
"kanada","tom wurde in kanada geboren.","tom wurde in {{1::kanada}} geboren.","tom was born in canada.","First 2 letters: ka...","123","0.4813227513227514",""
"deinem","tom war in deinem zimmer.","tom war in {{1::deinem}} zimmer.","tom was in your room.","First 2 letters: de...","522","0.5017391304347826",""
"eurem","tom war in eurem zimmer.","tom war in {{1::eurem}} zimmer.","tom was in your room.","First 2 letters: eu...","108","0.4812722646310432",""
"ihrem","tom war in ihrem zimmer.","tom war in {{1::ihrem}} zimmer.","tom was in your room.","First 2 letters: ih...","821","0.48155279503105586",""
"fließend","tom sprach fließend französisch.","tom sprach {{1::fließend}} französisch.","tom was fluent in french.","First 2 letters: fl...","124","0.5013262599469497",""
"schwarz","tom war schwarz gekleidet.","tom war {{1::schwarz}} gekleidet.","tom was dressed in black.","First 2 letters: sc...","153","0.5014367816091954",""
"krankenhaus","tom war im krankenhaus.","tom war im {{1::krankenhaus}}.","tom was in the hospital.","First 3 letters: kra...","450","0.4598039215686275",""
"garten","tom war im garten.","tom war im {{1::garten}}.","tom was in the garden.","First 2 letters: ga...","588","0.4556179775280899",""
"haus","tom war im haus.","tom war im {{1::haus}}.","tom was in the house.","First 1 letter: h...","2149","0.3903030303030303",""
"eurem","war tom in eurem team?","war tom in {{1::eurem}} team?","was tom in your team?","First 2 letters: eu...","108","0.4812722646310432",""
"neuen","tom will einen neuen hut.","tom will einen {{1::neuen}} hut.","tom wants a new hat.","First 2 letters: ne...","644","0.48344827586206895",""
"manchmal","tom trägt manchmal einen hut.","tom trägt {{1::manchmal}} einen hut.","tom sometimes wears a hat.","First 2 letters: ma...","518","0.5063157894736843",""
"unfall","tom ist bei einem unfall ums leben gekommen.","tom ist bei einem {{1::unfall}} ums leben gekommen.","tom died in an accident.","First 2 letters: un...","423","0.5064102564102564",""
"wohnung","tom hat eine wohnung.","tom hat eine {{1::wohnung}}.","tom lives in an apartment.","First 2 letters: wo...","392","0.4545871559633028",""
"passen","tom wird gut zu uns passen.","tom wird gut zu uns {{1::passen}}.","tom will fit right in.","First 2 letters: pa...","139","0.4347145488029466",""
"zeit","tom wohnt zur zeit in boston.","tom wohnt zur {{1::zeit}} in boston.","tom currently resides in boston.","First 1 letter: z...","3007","0.4401993620414673",""
"park","tom ist im park.","tom ist im {{1::park}}.","tom is in the park.","First 1 letter: p...","429","0.39694444444444443",""
"hotel","tom blieb im hotel.","tom blieb im {{1::hotel}}.","tom stayed in the hotel.","First 2 letters: ho...","390","0.4545045045045045",""
"hotel","tom ist im hotel geblieben.","tom ist im {{1::hotel}} geblieben.","tom stayed in the hotel.","First 2 letters: ho...","390","0.48450450450450455",""
"moment","tom lebt im moment.","tom lebt im {{1::moment}}.","tom lives in the moment.","First 2 letters: mo...","304","0.45253807106598987",""
"persönlich","tom ging persönlich hin.","tom ging {{1::persönlich}} hin.","tom went there in person.","First 3 letters: per...","104","0.5012594458438286",""
"schlechter","tom ist in schlechter verfassung.","tom ist in {{1::schlechter}} verfassung.","tom is in bad shape.","First 3 letters: sch...","222","0.48179211469534056",""
"frieden","möge tom in frieden ruhen.","möge tom in {{1::frieden}} ruhen.","may tom rest in peace.","First 2 letters: fr...","107","0.48126903553299494",""
"eilig","tom hat es eilig.","tom hat es {{1::eilig}}.","tom is in a hurry.","First 2 letters: ei...","137","0.4513736263736264",""
"liegt","tom liegt im koma.","tom {{1::liegt}} im koma.","tom is in a coma.","First 2 letters: li...","808","0.45161812297734627",""
"dem","tom ist auf dem hof.","tom ist auf {{1::dem}} hof.","tom is in the yard.","First 1 letter: d...","8284","0.3600642260757868",""
"deutsch","tom hat deutsch studiert.","tom hat {{1::deutsch}} studiert.","tom studied german in college.","First 2 letters: de...","336","0.503030303030303",""
"gebäude","tom ist im gebäude.","tom ist im {{1::gebäude}}.","tom is in the building.","First 2 letters: ge...","305","0.45255102040816325",""
"gebäude","tom ist in dem gebäude.","tom ist in dem {{1::gebäude}}.","tom is in the building.","First 2 letters: ge...","305","0.4425510204081632",""
"haus","tom ist im haus.","tom ist im {{1::haus}}.","tom is in the house.","First 1 letter: h...","2149","0.3903030303030303",""
"bad","tom ist im bad.","tom ist im {{1::bad}}.","tom is in the bathroom.","First 1 letter: b...","130","0.33134770889487875",""
"garten","tom ist im garten.","tom ist im {{1::garten}}.","tom is in the garden.","First 2 letters: ga...","588","0.4556179775280899",""
"wald","tom ist im wald.","tom ist im {{1::wald}}.","tom is in the forest.","First 1 letter: w...","251","0.392",""
"bibliothek","tom ist in der bibliothek.","tom ist in der {{1::bibliothek}}.","tom is in the library.","First 3 letters: bib...","282","0.4422831050228311",""
"kirche","tom ist in der kirche.","tom ist in der {{1::kirche}}.","tom is in the church.","First 2 letters: ki...","234","0.4418726591760299",""
"geschäft","tom ist im geschäft.","tom ist im {{1::geschäft}}.","tom is in the store.","First 2 letters: ge...","234","0.45187265917603",""
"laden","tom ist im laden.","tom ist im {{1::laden}}.","tom is in the store.","First 2 letters: la...","313","0.45265957446808514",""
"fluss","tom ist im fluss geschwommen.","tom ist im {{1::fluss}} geschwommen.","tom swam in the river.","First 2 letters: fl...","411","0.4855555555555555",""
"fluss","tom ist im fluss ertrunken.","tom ist im {{1::fluss}} ertrunken.","tom drowned in the river.","First 2 letters: fl...","411","0.4855555555555555",""
"schritt","tom schritt ins zimmer.","tom {{1::schritt}} ins zimmer.","tom walked in the room.","First 2 letters: sc...","134","0.4513623978201635",""
"menge","tom verschwand in der menge.","tom verschwand in der {{1::menge}}.","tom disappeared in the crowd.","First 2 letters: me...","452","0.450204081632653",""
"stieg","tom stieg ins boot.","tom {{1::stieg}} ins boot.","tom got in the boat.","First 2 letters: st...","217","0.4517605633802817",""
