"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"sicherheit","tom kann nicht mit sicherheit sagen, wo maria wohnt.","tom kann nicht mit {{1::sicherheit}} sagen, wo maria wohnt.","tom can't say for sure where mary lives.","First 3 letters: sic...","136","0.4902587519025875",""
"übrig","tom blieb nichts anderes übrig, als maria zu folgen.","tom blieb nichts anderes {{1::übrig}}, als maria zu folgen.","tom had no choice but to follow mary.","First 2 letters: üb...","149","0.4903093434343434",""
"bestehen","warum würde tom darauf bestehen, dass mary das macht?","warum würde tom darauf {{1::bestehen}}, dass mary das macht?","why would tom insist that mary do that?","First 2 letters: be...","126","0.4902222222222222",""
"freundschaft","tom empfand nicht mehr als freundschaft für maria.","tom empfand nicht mehr als {{1::freundschaft}} für maria.","tom felt no more than friendship for mary.","First 3 letters: fre...","103","0.47625628140703513",""
"film","tom fotografierte, bis der film voll war.","tom fotografierte, bis der {{1::film}} voll war.","tom took pictures until the film ran out.","First 1 letter: f...","605","0.4304312668463612",""
"meter","tom blieb ein paar meter vor ihr stehen.","tom blieb ein paar {{1::meter}} vor ihr stehen.","tom stopped a few metres ahead of her.","First 2 letters: me...","133","0.5013586956521738",""
"parken","sag tom, wo er parken kann.","sag tom, wo er {{1::parken}} kann.","tell tom where he can park his car.","First 2 letters: pa...","113","0.4679553264604811",""
"parken","sagt tom, wo er parken kann.","sagt tom, wo er {{1::parken}} kann.","tell tom where he can park his car.","First 2 letters: pa...","113","0.4679553264604811",""
"parken","sagen sie tom, wo er parken kann.","sagen sie tom, wo er {{1::parken}} kann.","tell tom where he can park his car.","First 2 letters: pa...","113","0.45843151693667156",""
"händen","tom erschien mit leeren händen auf marias geburtstagsfeier.","tom erschien mit leeren {{1::händen}} auf marias geburtstagsfeier.","tom showed up empty-handed at maria's birthday party.","First 2 letters: hä...","106","0.5012658227848101",""
"aufgewachsen","tom wollte sehen, wo ich aufgewachsen bin.","tom wollte sehen, wo ich {{1::aufgewachsen}} bin.","tom wanted to see where i grew up.","First 3 letters: auf...","147","0.4585552865213882",""
"verboten","meine eltern haben mir verboten, tom wiederzusehen.","meine eltern haben mir {{1::verboten}}, tom wiederzusehen.","my parents forbade me to see tom again.","First 2 letters: ve...","121","0.4870300751879699",""
"reichen","tom bat mich, ihm das salz zu reichen.","tom bat mich, ihm das salz zu {{1::reichen}}.","tom asked me to pass him the salt.","First 2 letters: re...","120","0.4263123359580052",""
"tor","der mann am tor ist tom.","der mann am {{1::tor}} ist tom.","the person standing near the gate is tom.","First 1 letter: t...","138","0.3813774104683196",""
"schade","es ist zu schade, dass tom nicht hiersein kann.","es ist zu {{1::schade}}, dass tom nicht hiersein kann.","it's too bad that tom can't be here.","First 2 letters: sc...","127","0.4680035650623886",""
"hundert","tom war zu hundert prozent meiner meinung.","tom war zu {{1::hundert}} prozent meiner meinung.","tom agreed with me one hundred per cent.","First 2 letters: hu...","151","0.48714285714285716",""
"spanisch","tom nutzt das internet, um spanisch zu lernen.","tom nutzt das internet, um {{1::spanisch}} zu lernen.","tom is using the internet to learn spanish.","First 2 letters: sp...","153","0.47643678160919545",""
"darfst","gut, tom, du darfst die augen jetzt öffnen!","gut, tom, du {{1::darfst}} die augen jetzt öffnen!","okay, tom, you can open your eyes now!","First 2 letters: da...","280","0.477262443438914",""
"chinesisch","ich fragte tom, ob er gern chinesisch esse.","ich fragte tom, ob er gern {{1::chinesisch}} esse.","i asked tom if he liked chinese food.","First 3 letters: chi...","134","0.4513623978201635",""
"übersetzung","tom machte eine freie übersetzung aus dem original.","tom machte eine freie {{1::übersetzung}} aus dem original.","tom made a loose translation from the original.","First 3 letters: übe...","126","0.5013333333333334",""
"abgeschlossen","tom weiß nicht mehr, ob er die tür abgeschlossen hat.","tom weiß nicht mehr, ob er die tür {{1::abgeschlossen}} hat.","tom doesn't remember if he locked the door.","First 3 letters: abg...","119","0.4413089005235602",""
"taten","tom muss für seine taten bestraft werden.","tom muss für seine {{1::taten}} bestraft werden.","tom should be punished for what he did.","First 2 letters: ta...","104","0.4869737315581144",""
